# 姿势模板
# 格式：名称|描述|标签1,标签2

[传统]
沙发式|沙发上进行，女性躺在或趴在沙发，阴茎插入阴道|舒适,多样
餐桌式|餐桌上进行，女性躺在餐桌，阴茎插入阴道|硬度,高度
书桌式|书桌上进行，女性趴在书桌或坐书桌，阴茎插入阴道|浪漫,知识
浴缸式|浴缸中进行，女性坐或躺在浴缸，阴茎插入阴道|温暖,舒适
淋浴式|淋浴下进行，站立姿势阴茎插入阴道，水流冲击|水流,刺激
按摩床上|按摩床上进行，女性趴或仰卧按摩床，阴茎插入阴道|专业,舒适
厨房台面|女性趴在厨房台面，臀部翘起，阴茎从后插入阴道|硬度,刺激
洗手台|女性趴在洗手台，阴茎从后插入阴道，镜子可看到|视觉,刺激
沙发后入|女性跪在沙发上，手扶靠背，阴茎从后插入阴道|舒适,深入
椅子骑乘|女性坐在椅子上前后移动，阴茎插入阴道|主动,深度
桌子后入|女性趴在桌子上，阴茎从后插入阴道|硬度,深入
窗台骑乘|女性坐在窗台上，阴茎插入阴道，可看窗外|浪漫,刺激
楼梯后入|女性趴在楼梯上，阴茎从后插入阴道|高度,深入
浴缸后入|女性跪在浴缸里，阴茎从后插入阴道|防滑,刺激
淋浴后入|女性手扶墙壁，阴茎从后插入阴道|水流,刺激
阳台后入|女性趴在阳台栏杆上，阴茎从后插入阴道|户外,刺激
阳台骑乘|女性坐在阳台椅子上，面对面阴茎插入阴道|浪漫,户外
书架前|女性趴在书架上，阴茎从后插入阴道|知识,刺激
沙发骑乘|女性坐在沙发上上下移动，阴茎插入阴道|舒适,主动
地毯后入|女性跪在地毯上，阴茎从后插入阴道|柔软,舒适

[特色]
观音坐莲|女性盘腿坐男性身上，阴茎插入阴道，面对面拥抱|亲密,神圣
老虎推车|后入式变体，女性双手撑地，阴茎插入阴道，臀部翘起|力量感,深度
隔山取火|隔障碍物进行，用乳房或大腿夹住阴茎摩擦|神秘,新奇
老树盘根|腿部缠绕，男性坐姿女性面对面坐，双腿缠绕阴茎插入阴道|紧密结合
海枯石烂|长时间亲密，侧卧面对面阴茎插入阴道，慢节奏持久|永恒,浪漫
天塌地陷|激烈动作，男性在上用力冲刺，阴茎快速插入拔出|强烈,爆发
双龙出海|双重刺激，同时手指插入阴道和肛门，或双阴茎插入|同时,满足
毒龙钻|深度探索，阴茎深入阴道刺激G点和子宫颈|强烈,刺激
千斤压顶|重量压迫，女性坐在男性身上，阴茎插入阴道向下压|压迫感,刺激
倒挂金钩|倒挂姿势，女性倒立双腿抬起，阴茎插入阴道|血液倒流,刺激
鹤立鸡群|站立姿势，女性单腿站立男性抱起，阴茎插入阴道|高视角,优越
凤凰展翅|双腿张开，女性仰卧双腿大大张开，阴茎插入阴道|展开,美丽
野马奔腾|狂野动作，女性趴跪臀部翘起，男性快速抽插|奔放,激烈
饿虎扑食|猛烈进攻，男性在上用力冲刺，阴茎深入阴道|欲望,强烈
蛟龙出海|深入探索，阴茎深入阴道底部，刺激子宫颈|深度,力度
隔衣做爱|穿着衣服进行，性器官隔衣摩擦|禁忌,刺激
蒙眼做爱|戴眼罩进行，阴茎插入阴道，增加神秘感|感官,神秘
站立后入|女性站立手扶墙，阴茎从后插入阴道|力量,深入
站立对面|女性站立面对，男性阴茎插入阴道|激情,直接
抱起后入|男性抱起女性，阴茎插入阴道，背靠墙|力量,深入
抱起骑乘|男性抱起女性，女性主动上下移动|力量,主动
托举后入|男性托起女性臀部，阴茎插入阴道|力量,深度
背对背坐|背对背坐姿，阴茎插入阴道，各自刺激自己|特殊,自主
面对面坐|面对面坐姿，阴茎插入阴道，拥抱亲吻|亲密,舒适
侧卧骑乘|侧卧女性在上，阴茎插入阴道|舒适,主动
双腿抬起|女性双腿抬起搭在男性肩上，阴茎插入阴道|深度,开放
单腿站立|女性单腿站立，另一腿抬高，阴茎插入阴道|角度,刺激
跪姿后入|女性跪姿手撑地，阴茎从后插入阴道|传统,深入
跪姿骑乘|女性跪姿面向男性，主动上下移动|主动,服务
椅子上后入|女性跪在椅子上手扶靠背，阴茎从后插入|高度,深入
椅子上骑乘|女性坐在椅子上面对男性，主动上下移动|主动,深度
桌子后入|女性趴在桌子上，阴茎从后插入阴道|硬度,深入
桌子骑乘|女性坐在桌子边缘，双腿张开，阴茎插入|高度,开放
窗台后入|女性趴在窗台，阴茎从后插入阴道|户外,刺激
窗台骑乘|女性坐在窗台，阴茎插入阴道|浪漫,刺激
楼梯骑乘|女性坐在楼梯上，阴茎插入阴道|高度,刺激
楼梯后入|女性趴在楼梯上，阴茎从后插入阴道|高度差,深入

[SM]
捆绑式|使用绳索捆绑，阴茎插入阴道或肛门，束缚感|束缚,SM
蒙眼式|遮蔽视线，阴茎插入阴道，感官增强|感官,神秘
乳胶衣|穿着乳胶衣，阴茎插入阴道，视觉质感|视觉,质感
主仆式|主仆角色扮演，主人阴茎插入阴道奴隶|权力,控制
惩罚式|惩罚游戏，阴茎插入或拍打，刺激快感|刺激,快感
滴蜡式|使用蜡烛滴蜡，阴茎插入阴道，热蜡刺激|温度,刺激
鞭打式|使用鞭子，阴茎插入阴道，抽打臀部|疼痛,快感
悬吊式|悬吊起来，阴茎插入阴道，无助感|无助,刺激
宠物式|宠物角色扮演，阴茎插入阴道，学宠物叫|服从,可爱
羞耻式|羞耻游戏，阴茎插入阴道，说淫秽话语|刺激,快感
角色扮演|各种角色，阴茎插入阴道，想象丰富|趣味,想象
命令服从|命令与服从，阴茎插入阴道，主人命令奴隶|权力,控制
支配控制|支配与控制，阴茎插入阴道，支配者主导|主导,被动
臣服屈服|臣服与屈服，阴茎插入阴道，被动方屈服|屈服,快感
绳缚|用绳子捆绑全身，阴茎插入阴道，绳缚艺术|束缚,艺术
吊绑|悬吊捆绑，阴茎插入阴道，倒吊刺激|束缚,刺激
皮鞭|用皮鞭抽打，阴茎插入阴道，疼痛快感|疼痛,快感
电击|轻微电击玩具，阴茎插入阴道，麻刺感|刺激,新奇
低温蜡烛|低温蜡烛滴蜡，阴茎插入阴道，不太烫|温度,刺激
眼罩口塞|戴眼罩口塞，阴茎插入阴道，失明失声|感官,无助
手铐|使用手铐铐住，阴茎插入阴道，限制动作|束缚,控制
脚镣|使用脚镣锁住，阴茎插入阴道，限制移动|束缚,控制
项圈牵引|戴项圈被牵引，阴茎插入阴道，宠物感|宠物,控制
羞辱|言语或行为羞辱，阴茎插入阴道，心理刺激|心理,刺激
主人命令|主人下命令，阴茎插入阴道执行|权力,控制
奴隶服务|奴隶为主人服务，口交或被动承受|服务,服从
乳胶衣SM|穿乳胶衣进行SM，阴茎插入阴道|视觉,控制
紧身衣|穿紧身衣，阴茎插入阴道，紧缚感|束缚,视觉
肛门SM|专门肛门SM，阴茎插入肛门|肛门,刺激
尿道play|使用尿道棒，阴茎插入后庭或尿道|极端,刺激
拳交|拳头插入阴道，极端SM|极端,极端
潮吹|刺激阴道使其喷水，高潮表现|高潮,喷水
失禁|刺激至失禁，极端刺激|极端,刺激
调教|系统调教，阴茎插入阴道，养成游戏|控制,养成
字母圈|SM圈子的术语，阴茎插入阴道|控制,角色
