# 对话模板
# 格式：对话内容|类型|情感

[调情]
分开大腿|命令|控制
并拢大腿|命令|控制
抬高屁股|命令|控制
低下頭|命令|控制
蹲下|命令|控制
站起来|命令|控制
坐好|命令|控制
躺好|命令|控制
跪好|命令|控制
爬过来|命令|控制
爬过去|命令|控制
转过去|命令|控制
转过来|命令|控制
背对我|命令|控制
面对我|命令|控制
摸自己|命令|控制
自慰给我看|命令|控制
用手指插自己|命令|控制
用按摩棒|命令|控制
拿出来|命令|控制
放进去|命令|控制
含着|命令|控制
不准射|命令|控制
必须射|命令|控制
射在里面|命令|控制
射在外面|命令|控制
射在嘴里|命令|控制
射在脸上|命令|控制
射在乳房上|命令|控制
吞下去|命令|控制
不准吞|命令|控制
叫大声点|命令|控制
叫小声点|命令|控制
不准叫|命令|控制
哭出来|命令|控制
笑出来|命令|控制
说出来|命令|控制
写下来|命令|控制
拍照|命令|控制
拍视频|命令|控制
上传|命令|控制
分享|命令|控制
给别人看|命令|控制
给别人肏|命令|控制
被人轮|命令|控制
去卖|命令|控制
去约|命令|控制
去啪|命令|控制

[赞美]
你好紧|赞美|赞美
好湿|赞美|赞美
好棒|赞美|赞美
好美|赞美|赞美
好可爱|赞美|赞美
好性感|赞美|赞美
好会吸|赞美|赞美
好会夹|赞美|赞美
你真棒|赞美|赞美
你好厉害|赞美|赞美
我好舒服|赞美|享受
你让我好爽|赞美|享受
你的身体真完美|赞美|赞美
你好有感觉|赞美|赞美
你真会做|赞美|赞美
你的阴道好紧|赞美|赞美
你的阴茎好大|赞美|赞美
你好会吸|赞美|赞美
你让我欲罢不能|赞美|赞美
你是最棒的|赞美|赞美
阴道好紧|赞美|赞美
阴道好湿|赞美|赞美
阴道好热|赞美|赞美
阴道好软|赞美|赞美
阴道好会吸|赞美|赞美
阴道好会夹|赞美|赞美
肛门好紧|赞美|赞美
肛门好热|赞美|赞美
肛门好会吸|赞美|赞美
肛门好会夹|赞美|赞美
乳头好敏感|赞美|赞美
乳头好硬|赞美|赞美
乳头好大|赞美|赞美
乳头好小|赞美|赞美
乳房好软|赞美|赞美
乳房好大|赞美|赞美
乳房好挺|赞美|赞美
乳房手感真好|赞美|赞美
臀部好翘|赞美|赞美
臀部好软|赞美|赞美
臀部手感真好|赞美|赞美
阴茎好大|赞美|赞美
阴茎好硬|赞美|赞美
阴茎好长|赞美|赞美
阴茎好粗|赞美|赞美
阴茎好热|赞美|赞美
睾丸好大|赞美|赞美
龟头好敏感|赞美|赞美
龟头好大|赞美|赞美
你下面好会吸|赞美|赞美
你阴道吸得我好爽|赞美|享受
你乳头硬成这样|赞美|挑逗
你全身都敏感|赞美|赞美
你好淫荡|赞美|赞美
你好骚|赞美|赞美
你好贱|赞美|赞美
你好色情|赞美|赞美
你是个骚货|赞美|挑逗
你是个贱人|赞美|挑逗
你是个婊子|赞美|挑逗
你是公共厕所|赞美|侮辱
你是人尽可夫的婊子|赞美|侮辱
你被多少人肏过|赞美|挑逗
你有多少男人|赞美|挑逗
你阴道有多少人进去过|赞美|挑逗
你肛门有多少人进去过|赞美|挑逗
你嘴巴有多少人进去过|赞美|挑逗
你乳头被多少人吸过|赞美|挑逗
你全身都被玩遍了|赞美|挑逗
你是个色情狂|赞美|挑逗
你是个性欲狂|赞美|挑逗
你欲求不满|赞美|挑逗
你每天都需要男人|赞美|挑逗
你离不开男人|赞美|挑逗
你是个离不开阴茎的骚货|赞美|侮辱
