# 地点模板
# 格式：名称|描述|类型

[室内]
仓库|储存场所，适合仓库偷情、货物play|刺激
电梯井|建筑空间，适合电梯井偷情、黑暗垂直play|刺激
管道|工业管道，适合管道内偷情、狭窄刺激|刺激
屋顶花园|高空花园，适合屋顶花园做爱、花园浪漫|浪漫
天窗|房屋天窗，适合天窗下做爱、天空浪漫|浪漫
地下室停车场|地下停车场，适合停车场偷情、车后姿势|刺激
变电站|电力场所，适合变电箱play、触电刺激联想|刺激
锅炉房|高温场所，适合锅炉房偷情、热气蒸腾|刺激
机房|电脑场所，适合机房偷情、服务器play|刺激
配电室|电力场所，适合配电室偷情、电击play联想|刺激
