# 风格模板
# 格式：名称|描述|强度

[温柔]
阴部描写|阴部描写详细描写阴部的颜色、湿润度、紧致度|高
阴茎描写|阴茎描写详细描写阴茎的大小、硬度、温度|高
阴道描写|阴道描写详细描写阴道的紧致度、润滑度、温度|高
臀部描写|臀部描写详细描写臀部的弹性、手感|高
皮肤描写|皮肤描写详细描写皮肤的触感、温度、湿度|高
毛发描写|毛发描写详细描写阴毛、体毛的触感|中
表情描写|面部表情详细描写做爱时的表情变化|中
身体曲线|身体曲线详细描写身体的曲线美|中

[角色扮演]
主人奴隶|主人奴隶主人命令，奴隶服从，进行阴茎插入|角色
医生病人|医生病人医生检查身体，进行插入式检查|角色
老师学生|老师学生老师教育学生，发生性关系|角色
上司下属|上司下属上司潜规则下属，进行性行为|角色
主人宠物|主人宠物主人与扮演宠物的对方发生关系|角色
劫匪受害者|劫匪受害者劫匪挟持人质，发生性侵行为|角色
囚犯狱警|囚犯狱警囚犯与狱警发生关系|角色
变态医生|变态医生医生对病人进行性骚扰|角色
绑架者|绑架者绑架者与被绑架者发生关系|角色
强奸|强奸强制发生性关系|角色
绿帽|绿帽丈夫与妻子和第三人发生关系|角色
交换|交换夫妻交换性伴侣|角色
群交|群交多人群交，多人同时与一人发生关系|角色
轮奸|轮奸多人轮流与一人发生关系|角色
多人运动|多人运动多人同时进行性行为|角色

[特殊]
后庭开发|后庭开发开发肛门，从手指到阴茎逐渐插入|特殊
尿道开发|尿道开发开发尿道，使用尿道棒等道具|特殊
注射|注射向阴道或肛门内注射液体|特殊
灌肠|灌肠向肛门内灌入液体后做爱|特殊
颜射|颜射射精在脸上|特殊
口爆|口爆射精在嘴里|特殊
乳交|乳交用乳房夹住阴茎摩擦射精|特殊
股交|股交用大腿根部摩擦阴茎射精|特殊
足交|足交用脚刺激阴茎射精|特殊
手淫|手淫用手帮助自慰或被自慰|特殊
自慰|自慰自己刺激自己达到高潮|特殊
潮吹|潮吹女性阴道喷出大量液体|特殊
前列腺按摩|前列腺按摩按摩男性前列腺使其高潮|特殊
多重高潮|多重高潮一次性爱中多次高潮|特殊
连续射精|连续射精男性连续多次射精|特殊
失禁|失禁做爱时控制不住排尿|特殊
羞耻|羞耻做爱时说些羞耻的话语或做羞耻的事|特殊
 dirty talk|脏话做爱时说脏话、淫秽话语|特殊
调教|调教系统性地调教对方进行性行为|特殊
