# 参考词库
# 格式：名称|描述|分类

[常用术语]
浪|开放|状态
媚|迷人|状态
妖娆|美丽动人|状态
性感|吸引异性|状态
勾人|吸引异性|状态
诱惑|引人动心|状态
撩人|挑逗|状态
性感|有性魅力|状态
骚气|性感|状态
女人味|女性魅力|状态
熟女味|成熟魅力|状态
罗莉塔|幼女感|状态
可爱|讨人喜欢|状态
萌|可爱|状态
萌|令人喜爱|状态

[部位描述]
奶子|乳房|部位
奶奶|乳房|部位
乳房|胸部|部位
胸部|乳房|部位
波|乳房|部位
奶|乳房|部位
乃子|乳房|部位
乳头|乳房尖端|部位
奶头|乳头|部位
奶嘴|乳头|部位
乳晕|乳头周围|部位
屁股|臀部|部位
臀|臀部|部位
腚|臀部|部位
臀部|屁股|部位
屁股蛋|臀部|部位
私处|性器官|部位
阴部|性器官|部位
阴道|女性器官|部位
小穴|阴道|部位
逼|阴道|部位
屄|阴道|部位
肛|肛门|部位
菊花|肛门|部位
后庭|肛门|部位
鸡巴|阴茎|部位
屌|阴茎|部位
阴茎|男性器官|部位
小弟弟|阴茎|部位
小JJ|阴茎|部位
老二是|阴茎|部位
蛋蛋|睾丸|部位
睾丸|睾丸|部位
阴囊|阴囊|部位

[动作描述]
抽插|性行为动作|动作
活塞运动|性行为动作|动作
插入|进入|动作
深入|完全进入|动作
抽动|来回运动|动作
冲刺|快速运动|动作
摩擦|摩擦动作|动作
揉|揉捏|动作
捏|捏弄|动作
摸|触摸|动作
舔|舔舐|动作
吸|吸吮|动作
含|含住|动作
吞吐|吞吐动作|动作
吹|口交|动作
口交|口交行为|动作
69|相互口交|动作
爆菊|肛交|动作
后入|后位姿势|动作
骑乘|女上位|动作
观音坐莲|女上位|动作
狗爬式|后入式|动作
面对面|正位姿势|动作
侧入|侧位姿势|动作
站姿|站立姿势|动作
挂墙|墙面姿势|动作
颜射|面部射精|动作
口爆|口腔射精|动作
内射|体内射精|动作
外射|体外射精|动作
中出|体内射精|动作
射精|男性射精|动作
喷精|射精|动作
泄精|射精|动作
高潮|性高潮|动作
绝顶|达到高潮|动作
gc|高潮|动作
gc|性高潮|动作
高潮迭起|连续高潮|动作
欲仙欲死|极致快感|动作
飘飘欲仙|极度愉悦|动作
死去活来|强烈快感|动作
呻吟|发出声音|动作
娇喘|喘息声|动作
浪叫|大声叫床|动作
叫床|性生活中发声|动作
喘息|呼吸声|动作
低吟|轻声呻吟|动作
娇啼|轻声啼哭|动作
哭泣|流泪|动作
抽泣|哭泣|动作
迎合|配合对方|动作
配合|协作|动作
主动|积极行动|动作
被动|被动接受|动作
配合|相互协作|动作
纠缠|紧紧拥抱|动作
拥抱|怀抱|动作
亲吻|接吻|动作
舌吻|深吻|动作
法式湿吻|深度接吻|动作
拥吻|抱着亲吻|动作
抚摸|触摸身体|动作
爱抚|温柔抚摸|动作
轻抚|轻轻触摸|动作
抚弄|细心抚摸|动作
摸索|探索性触摸|动作
探索|寻找|动作
挑逗|故意逗弄|动作
撩拨|轻轻拨动|动作
挑逗|引逗|动作
勾引|吸引|动作
诱惑|引人动心|动作
色诱|用美色引诱|动作
魅惑|迷人|动作
勾魂|吸引灵魂|动作
放电|发送魅力|动作
眉目传情|用眼神表达|动作
暗送秋波|传递情感|动作
秋波|眼神|动作
眉眼|面部表情|动作
抛媚眼|发送魅力|动作
勾搭|搭讪|动作
搭讪|主动接近|动作
撩妹|追求女性|动作
撩汉|追求男性|动作
泡妞|追求女性|动作
泡仔|追求男性|动作
把妹|追求女性|动作
把仔|追求男性|动作
追女|追求女性|动作
追男|追求男性|动作
钓凯子|吸引男性|动作
钓妹|吸引女性|动作
钓|吸引|动作
勾|吸引|动作
泡|追求|动作
撩|挑逗|动作
脱|脱衣服|动作
脱衣|脱去衣物|动作
更衣|换衣服|动作
宽衣|脱衣|动作
解衣|解开衣服|动作
褪去|脱掉|动作
剥离|脱去|动作
赤裸|一丝不挂|动作
赤身|裸露|动作
光身子|裸体|动作
光腚|裸露臀部|动作
赤脚|光脚|动作
光脚|赤足|动作
裸足|赤脚|动作
赤身裸体|完全裸露|动作
一丝不挂|完全裸体|动作
赤条条|裸露|动作
脱光|脱掉所有衣服|动作
脱光光|完全裸露|动作
脱得精光|全部脱掉|动作
脱光光|完全裸体|动作
脱光光|一丝不挂|动作
脱得一丝不挂|完全裸体|动作
脱掉|脱去|动作
脱下|脱下来|动作
脱去|去除|动作
脱掉衣服|脱衣|动作
脱光衣服|裸体|动作
脱光光|完全脱掉|动作
全裸|完全裸露|动作
半裸|部分裸露|动作
赤身|裸露身体|动作
光膀子|裸露上半身|动作
光膀儿|裸露上身|动作
赤背|裸露背部|动作
脱上衣|脱掉上衣|动作
脱裤子|脱掉裤子|动作
脱裙子|脱掉裙子|动作
脱内衣|脱掉内衣|动作
脱胸罩|解开胸罩|动作
脱内裤|脱掉内裤|动作
脱丝袜|脱掉丝袜|动作
脱光光|完全脱掉|动作
脱光|完全脱掉|动作
光腚|裸臀|动作
露点|暴露敏感部位|动作
露毛|暴露阴毛|动作
走光|意外暴露|动作
春光外泄|暴露身体|动作
走光|不小心暴露|动作
曝光|暴露|动作
露|暴露|动作
显露|展现|动作
暴露|露出|动作
展示|展现|动作
显现|呈现|动作
呈现|展现|动作
凸显|明显展现|动作
突出|明显表现|动作
显露|明显露出|动作
流露|自然展现|动作
散发|发出|动作
释放|放出|动作
解放|获得自由|动作
解开|打开|动作
松开|放松|动作
放松|轻松|动作
松开|不再紧束|动作
解开|松开|动作
松绑|解除束缚|动作
束缚|捆绑|动作
捆绑|绑住|动作
绑|捆绑|动作
栓|捆绑|动作
铐|用手铐|动作
锁|锁住|动作
囚禁|关押|动作
禁锢|限制自由|动作
困住|无法离开|动作
绑住|固定|动作
固定|不动|动作
按住|压住|动作
压|施加压力|动作
压制|压制|动作
控制|支配|动作
支配|控制|动作
统治|管辖|动作
领导|带领|动作
主导|主要作用|动作
主控|主要控制|动作
主导|起主要作用|动作
掌握|控制|动作
掌控|完全控制|动作
操纵|控制|动作
掌控|掌握|动作
统治|支配|动作
管辖|管理|动作
管|管理|动作
理|管理|动作
收拾|整理|动作
整理|安排|动作
调教|训练|动作
训练|练习|动作
培训|教导|动作
教导|指导|动作
指导|引导|动作
引导|带领|动作
带领|引导|动作
领|带领|动作
带|带领|动作
拉|牵引|动作
拽|拉扯|动作
拖|拉|动作
拉过来|拉近|动作
拽过来|拉近|动作
拉近|靠近|动作
拉倒|拉到|动作
拉起|拉起来|动作
拽起|拉起来|动作
拉倒|推倒|动作
推倒|推到|动作
推到|压倒|动作
压倒|压制|动作
推倒|性行为|动作
按倒|按下去|动作
按在地上|压制|动作
压住|按住|动作
按着|持续按住|动作
按住|固定|动作
扣住|抓住|动作
抓住|握紧|动作
抓牢|紧握|动作
握紧|紧紧抓住|动作
捏住|夹住|动作
捏|用手指夹|动作
掐|用指甲掐|动作
拧|扭转|动作
扭|转动|动作
转|转动|动作
翻|翻转|动作
翻转|转过来|动作
翻过来|转身|动作
翻过去|转身|动作
转过去|转身|动作
转过来|转身|动作
翻身上马|骑上|动作
骑|骑乘|动作
坐|坐下|动作
蹲|蹲下|动作
跪|跪下|动作
趴|趴下|动作
趴下|卧倒|动作
躺|躺下|动作
躺下|平躺|动作
卧倒|趴下|动作
倒下|倾斜|动作
跌倒|倒下|动作
摔|摔倒|动作
滑倒|滑落|动作
滑落|滑动|动作
滑|滑动|动作
溜|滑行|动作
钻|进入|动作
爬|爬行|动作
钻进去|进入|动作
爬进去|进入|动作
进去|进入内部|动作
进入|进入|动作
深入|进入深处|动作
进入|进入内部|动作
进去|进入|动作
出来|外出|动作
出去|离开|动作
出来|出现|动作
离开|走开|动作
走|行走|动作
跑|快速行走|动作
奔|快速跑|动作
冲|快速前进|动作
冲过去|快速接近|动作
冲上去|快速靠近|动作
冲过来|快速到达|动作
冲|冲刺|动作
冲刺|快速运动|动作
前进|向前|动作
后退|向后|动作
向前|前进|动作
向后|后退|动作
上前|靠近|动作
上前|接近|动作
上去|上去|动作
过来|到这里|动作
过来|接近|动作
过去|到那里|动作
过去|到达|动作
上来|上来|动作
上去|上去|动作
下来|下来|动作
下去|下去|动作
进|进入|动作
出|出去|动作
入|进入|动作
来|来这里|动作
去|去哪里|动作
起|起来|动作
落|落下|动作
倒|倒下|动作
歪|倾斜|动作
偏|偏离|动作
斜|倾斜|动作
歪|不正|动作
扭|扭转|动作
晃|摇晃|动作
摇|摇晃|动作
晃悠|摇摆|动作
摇摆|来回摇动|动作
晃动|摇动|动作
摇动|摇摆|动作
颤动|轻微摇晃|动作
颤抖|轻微抖动|动作
抖动|轻微摇晃|动作
颤|颤抖|动作
发抖|颤抖|动作
打颤|颤抖|动作
发抖|颤抖|动作
颤抖|轻微抖动|动作
打抖|轻微颤抖|动作
战栗|颤抖|动作
发抖|颤抖|动作
打颤|颤抖|动作
抖|颤抖|动作
哆哆|颤抖|动作
哆|颤抖|动作
嗦|颤抖|动作
嗦嗦|颤抖|动作
嗦嗦|发抖|动作
打嗦|颤抖|动作
打哆|颤抖|动作
抖嗦|颤抖|动作
抖|抖动|动作
晃动|摇动|动作
摇晃|摇摆|动作
摇摆|摇动|动作
晃荡|摇摆|动作
晃悠|摇摆|动作
悠荡|摇摆|动作
荡|摇摆|动作
悠|悠荡|动作
荡悠|摇摆|动作
荡来荡去|来回摇摆|动作
晃来晃去|来回摇摆|动作
摇来摇去|来回摇摆|动作
晃荡|摇摆|动作
悠荡|摇摆|动作
摇摆不定|来回摇摆|动作
摇摇摆摆|摇摆|动作
晃晃悠悠|摇晃|动作
悠哉悠哉|悠闲|动作
悠游|悠闲|动作
悠|悠闲|动作
游玩|玩耍|动作
嬉戏|玩耍|动作
嬉闹|玩耍|动作
玩|玩耍|动作
闹|玩耍|动作
闹着玩|玩耍|动作
闹着|玩耍|动作
玩闹|玩耍|动作
戏|玩耍|动作
戏弄|逗弄|动作
调戏|逗弄|动作
玩弄|玩耍|动作
耍|玩耍|动作
耍弄|玩弄|动作
玩|游戏|动作
游戏|玩耍|动作
嬉|玩耍|动作
嬉戏|游戏|动作
游玩|玩耍|动作
游荡|闲逛|动作
游逛|闲逛|动作
逛|闲逛|动作
逛逛|闲逛|动作
散步|走路|动作
漫步|悠闲走|动作
闲逛|四处走|动作
徘徊|来回走|动作
彷徨|徘徊|动作
踱步|慢慢走|动作
漫步|散步|动作
散步|走路|动作
逛街|购物|动作
兜风|乘车兜风|动作
乘车|坐车|动作
坐车|乘车|动作
开车|驾驶|动作
驾驶|开车|动作
乘车|上车|动作
上车|进入车辆|动作
上车|参与|动作
下车|离开|动作
搭车|乘车|动作
打车|乘出租车|动作
拦车|拦出租车|动作
叫车|叫出租车|动作
等车|等待|动作
候车|等待|动作
坐等|等待|动作
等候|等待|动作
等|等待|动作
候|等待|动作
待|等待|动作
候着|等待|动作
等着|等待|动作
候着|等待|动作
等等|等待|动作
稍等|等待|动作
稍候|等待|动作
稍|等待|动作
片刻|短暂|动作
须臾|短暂|动作
片刻|一会儿|动作
瞬间|很短时间|动作
刹那|极短时间|动作
瞬间|很快|动作
须臾|很短|动作
即刻|立即|动作
马上|很快|动作
立刻|立即|动作
立即|马上|动作
随即|立即|动作
顿时|立即|动作
当下|此时|动作
此时|现在|动作
此刻|现在|动作
目前|现在|动作
现在|当前|动作
当今|现在|动作
现今|现在|动作
时下|目前|动作
当前|现在|动作
如今|现在|动作
现今|当代|动作
当代|现代|动作
现代|当代|动作
新时代|现代|动作
新世代|现代|动作

[情趣用品]
按摩棒|振动棒|用品
跳蛋|振动蛋|用品
震动棒|按摩棒|用品
情趣用品|成人用品|用品
成人玩具|性玩具|用品
飞机杯|男性自慰器|用品
手淫杯|男性自慰器|用品
名器|女性仿真器|用品
充气娃娃|仿真人偶|用品
硅胶娃娃|仿真人偶|用品
乳胶娃娃|仿真人偶|用品
SM道具|SM用品|用品
手铐|束缚用品|用品
脚镣|束缚用品|用品
绳索|捆绑用品|用品
绳子|捆绑用品|用品
眼罩|蒙眼用品|用品
口球|口部用品|用品
项圈|宠物项圈|用品
鞭子|鞭打用品|用品
蜡烛|蜡烛用品|用品
皮鞭|皮制鞭子|用品
拍子|拍打用品|用品
羽毛|挑逗用品|用品
手套|手部用品|用品
丝袜|袜子|用品
长筒袜|袜子|用品
吊带袜|袜子|用品
连裤袜|袜子|用品
情趣内衣|性感内衣|用品
内衣|贴身衣物|用品
胸罩|文胸|用品
内裤|底裤|用品
丁字裤|性感内裤|用品
C字裤|丁字裤|用品
镂空内衣|透视内衣|用品
情趣制服|特殊服装|用品
护士装|职业装|服装
教师装|职业装|服装
空姐装|职业装|服装
女仆装|角色服装|服装
兔女郎|角色服装|服装
水手服|学生装|服装
学生装|校服|服装
警服|制服|服装
军装|制服|服装
制服|职业服装|服装
三点式|泳装|服装
比基尼|泳装|服装
泳装|游泳服装|服装
仿真阴茎|假阴茎|用品
假阳具|人工阴茎|用品
假阴茎|仿真阳具|用品
女用按摩棒|女性振动棒|用品
双头按摩棒|双头振动棒|用品
G点按摩棒|G点振动棒|用品
阴道球|阴道哑铃|用品
阴道哑铃|缩阴球|用品
凯格尔球|阴道训练球|用品
缩阴球|阴道紧致球|用品
拉珠|阴道拉珠|用品
串珠|阴道串珠|用品
后庭塞|肛门塞|用品
肛门塞|后庭玩具|用品
前列腺按摩器|前列腺刺激器|用品
前列腺|男性敏感点|用品
乳夹|乳房夹|用品
乳环|乳房穿刺|用品
乳贴|乳贴|用品
乳晕贴|乳晕贴|用品
跳蛋|振动蛋|用品
远程跳蛋|远程控制跳蛋|用品
穿戴跳蛋|穿戴式跳蛋|用品
AV棒|按摩棒|用品
电击棒|电刺激棒|用品
脉冲棒|脉冲按摩棒|用品
按摩器|按摩器械|用品
臀部按摩器|臀部按摩|用品
阴部按摩器|阴部按摩|用品
催情香水|性吸引香水|用品
费洛蒙香水|信息素香水|用品
春药|催情药物|用品
催情药|性兴奋药|用品
媚药|催情药|用品
西班牙苍蝇|催情剂|用品
伟哥|勃起药物|用品
威而钢|勃起药物|用品
犀利士|勃起药物|用品
乐威壮|勃起药物|用品
男性增强液|延时喷剂|用品
增大增粗|阴茎增大|用品
增大膏|阴茎增大膏|用品
增大精油|增大精油|用品
壮阳药|增强性功能|用品
补肾壮阳|补肾|用品
补肾|滋补肾虚|用品
滋阴|滋补阴虚|用品
润肤乳|身体乳|用品
润滑液|润滑剂|用品
水溶性润滑|水基润滑|用品
硅基润滑|硅油润滑|用品
油性润滑|油基润滑|用品
芦荟润滑|芦荟润滑剂|用品
热感润滑|热感润滑剂|用品
冰感润滑|冰凉润滑剂|用品
口交润滑|口交专用|用品
情趣润滑|特殊性润滑|用品
condom|避孕套|用品
安全套|避孕套|用品
超薄安全套|超薄避孕套|用品
螺纹安全套|螺纹避孕套|用品
颗粒安全套|颗粒避孕套|用品
延时安全套|延时避孕套|用品
冰感安全套|冰凉避孕套|用品
热感安全套|热感避孕套|用品
荧光安全套|荧光避孕套|用品
彩色安全套|彩色避孕套|用品
大号安全套|大号避孕套|用品
小号安全套|小号避孕套|用品
女用安全套|女性避孕套|用品
手指套|指套|用品
一次性手套|医用手套|用品
乳胶手套|橡胶手套|用品
情趣手套|特殊手套|用品
口交手套|口交专用手套|用品
手铐|手铐|用品
脚铐|脚镣|用品
脚镣|脚铐|用品
手铐|束缚用手铐|用品
皮革手铐|皮制手铐|用品
金属手铐|金属手铐|用品
丝绸领带|丝绸领带|用品
领带|领带|用品
丝巾|丝绸围巾|用品
丝绸绳|丝绸绳索|用品
麻绳|麻制绳索|用品
棉绳|棉制绳索|用品
尼龙绳|尼龙绳索|用品
钢丝绳|金属绳索|用品
锁链|链条|用品
铁链|金属锁链|用品
链条|锁链|用品
锁具|锁|用品
密码锁|数字锁|用品
眼罩|遮眼罩|用品
黑布眼罩|遮光眼罩|用品
丝带眼罩|丝绸眼罩|用品
口球|口塞|用品
口塞|口腔塞|用品
口枷|口部束缚|用品
鼻钩|鼻部饰品|用品
乳胶面罩|覆盖面部|用品
全脸面罩|全覆盖面罩|用品
半脸面罩|部分面罩|用品
项圈|颈部饰品|用品
宠物项圈|宠物项圈|用品
皮革项圈|皮制项圈|用品
金属项圈|金属项圈|用品
狗链|宠物链|用品
牵引绳|牵引带|用品
铃铛|叮当|用品
乳环|乳头环|用品
阴环|阴部穿刺|用品
舌环|舌穿刺|用品
唇环|唇穿刺|用品
眉环|眉穿刺|用品
脐环|肚脐穿刺|用品
穿孔|身体穿刺|用品
穿刺|穿孔|用品
鞭子|皮鞭|用品
皮鞭|皮革鞭子|用品
鞭打|鞭打|用品
拍打|拍打|用品
拍子|拍打工具|用品
皮拍|皮革拍子|用品
海绵拍|海绵拍子|用品
拍打棒|拍打工具|用品
调教鞭|训练鞭|用品
马鞭|骑马鞭|用品
鞭鞘|鞭子|用品
蜡烛|蜡烛|用品
低温蜡烛|低温蜡烛|用品
香薰蜡烛|芳香蜡烛|用品
蜂蜡|蜂蜡蜡烛|用品
滴蜡|滴蜡|用品
滴蜡蜡烛|滴蜡用蜡烛|用品
灼热|灼热感|用品
灼伤|烫伤|用品
羽毛|羽毛|用品
羽毛刷|羽毛刷子|用品
羽毛玩具|羽毛玩具|用品
羽毛挑逗|挑逗羽毛|用品
仿真阳具|假阳具|用品
假阴茎|仿真阳具|用品
电动按摩棒|电动振动棒|用品
电振动|电动振动|用品
穿戴式按摩器|穿戴按摩|用品
远程控制|遥控|用品
APP控制|手机控制|用品
蓝牙控制|蓝牙遥控|用品
无线控制|无线遥控|用品
智能玩具|智能情趣|用品
恒温按摩棒|恒温振动棒|用品
加热棒|加热按摩棒|用品
冷热交替|冷热交替|用品
变频|变频振动|用品
多频|多频率振动|用品
静音|低噪音|用品
防水|防水设计|用品
充电|可充电|用品
电池|电池供电|用品
USB充电|USB充电|用品
无线充电|无线充电|用品
穿戴内衣|穿戴式内衣|用品
智能内衣|科技内衣|用品
震动内衣|振动内衣|用品
按摩内衣|按摩功能|用品
发热内衣|加热内衣|用品
情趣裙子|性感裙子|情趣服装
超短裙|短裙|情趣服装
迷你裙|超短裙|情趣服装
包臀裙|紧身裙|情趣服装
开叉裙|开衩裙|情趣服装
透明装|透视服装|情趣服装
镂空装|镂空服装|情趣服装
情趣睡裙|性感睡裙|情趣服装
吊带裙|细带裙|情趣服装
真空|不穿内衣|情趣服装
半裸|部分裸露|情趣服装
全裸|完全裸露|情趣服装
皇帝新衣|透明装|情趣服装
三点式|三点式泳装|情趣服装
比基尼|三点式泳装|情趣服装
丁字裤|T字裤|情趣服装
C字裤|C字型内裤|情趣服装
镂空内裤|透视内裤|情趣服装
丁字裤|性感内裤|情趣服装
开裆裤|开裆设计|情趣服装
脱内裤|可脱内裤|情趣服装
脱胸罩|可脱胸罩|情趣服装
可脱式|可脱设计|情趣服装
护士装|护士制服|情趣服装
空姐装|空乘制服|情趣服装
教师装|教师制服|情趣服装
学生装|学生制服|情趣服装
警服|警察制服|情趣服装
军装|军人制服|情趣服装
军服|军队制服|情趣服装
制服诱惑|制服吸引力|情趣服装
角色扮演|角色服装|情趣服装
角色装|角色服装|情趣服装
女仆装|女仆制服|情趣服装
兔女郎|兔耳朵装扮|情趣服装
兔女|兔装扮|情趣服装
猫女|猫耳朵装扮|情趣服装
猫娘|猫女|情趣服装
女仆|女仆|情趣服装
