# 职业预设模板
# 格式：名称|描述

[学生]
学生|在校学生
小红书|小红书博主
抖音|抖音主播
快手|快手主播
 B站UP |B站上传者
YouTube|视频网站主
INS网红|社交网红

[技术]
程序员|软件开发工程师
工程师|工程技术员
设计师|视觉设计师
前端工程师|前端开发
后端工程师|后端开发
全栈工程师|全栈开发
移动端|移动开发工程师
IOS开发|苹果系统开发
安卓开发|安卓系统开发
Java开发|Java工程师
Python开发|Python工程师
C开发|C语言工程师
C++开发|C++工程师
Go开发|Go语言工程师
Rust开发|Rust工程师
PHP开发|PHP工程师
Ruby开发|Ruby工程师
前端开发|网页前端
后端开发|网页后端
数据库|数据库工程师
DBA|数据库管理员
运维|系统运维工程师
运维开发|DevOps工程师
测试|软件测试工程师
QA|质量保证工程师
性能测试|性能测试工程师
自动化测试|自动化测试
安全|网络安全工程师
渗透测试|渗透测试工程师
防火墙|网络安全
加密|加密工程师
区块链|区块链开发
AI|人工智能工程师
机器学习|机器学习工程师
深度学习|深度学习工程师
算法|算法工程师
数据|数据工程师
大数据|大数据开发
数据挖掘|数据挖掘工程师
数据分析|数据分析
数据科学|数据科学家
架构师|系统架构师
技术总监|技术管理
CTO|首席技术官
技术经理|技术部门经理
项目经理|项目管理
产品经理|产品设计
UI设计|界面设计
UX设计|用户体验
平面设计|平面图形设计
视觉设计|视觉传达设计
品牌设计|品牌视觉设计
包装设计|产品包装设计
插画设计|商业插画
原画设计|游戏原画设计
动画设计|动画制作设计
视频设计|视频制作设计
特效设计|视觉特效设计
游戏设计|游戏策划设计
游戏开发|游戏程序开发
游戏美术|游戏美术制作
游戏策划|游戏系统策划
游戏运营|游戏运营管理
运维|网络运维
系统运维|系统管理
网络运维|网络管理
安全运维|安全管理
云计算|云计算工程师
云运维|云平台运维
容器|容器化工程师
 DevOps |开发运维
架构设计|系统架构设计
网络安全|信息安全
系统安全|应用安全
数据安全|数据保护
隐私保护|隐私安全
密码学|加密技术
黑客|网络安全专家
白帽|白帽子黑客
红队|红队渗透
蓝队|蓝队防御
应急响应|安全应急
漏洞修复|漏洞修补
补丁|系统补丁
更新|系统更新
升级|系统升级
维护|系统维护
监控|系统监控
告警|故障告警
日志|日志分析
备份|数据备份
恢复|数据恢复
容灾|灾难恢复
高可用|HA系统
负载均衡|负载均衡
 CDN |内容分发
加速|加速服务
缓存|缓存技术
 Redis |缓存数据库
 MQ |消息队列
 Kafka |消息中间件
微服务|微服务架构
服务网格|服务治理
 API |接口开发
 Gateway |网关设计
注册中心|服务注册
配置中心|配置管理
分布式|分布式系统
集群|集群部署
容器|容器技术
 Docker |容器平台
 K8S |容器编排
 Kubernetes |K8S集群
 Helm |包管理
 CI/CD |持续集成部署
 Jenkins |CI工具
 GitLab |代码管理
 GitHub |开源社区
代码审查|Code Review
代码规范|编程规范
文档|技术文档
架构图|系统架构图
流程图|业务流程图
时序图|序列图
 UML |建模语言
设计模式|编程模式
重构|代码重构
优化|性能优化
调试|程序调试
 Bug |缺陷修复
 Debug |调试程序
 Trace |跟踪调试
 Profile |性能分析
优化|代码优化
重构|代码重构
 Review |代码评审
测试|单元测试
单元测试|代码测试
集成测试|集成验证
系统测试|系统验证
验收测试|用户验收
灰度发布|逐步发布
回滚|版本回退
上线|系统上线
发布|产品发布
版本|版本管理
迭代|敏捷迭代
 Sprint |冲刺开发
需求|需求分析
设计|系统设计
开发|编码实现
测试|测试验证
部署|部署上线
运维|运营维护
产品|产品设计
运营|产品运营
市场|市场营销
销售|客户销售
客服|客户服务
支持|技术支持
培训|技能培训
咨询|专业咨询
顾问|高级顾问
专家|领域专家
权威|行业权威
大师|技术大师
泰斗|学术泰斗
领袖|行业领袖
先驱|先驱者
开创者|创始人
奠基人|理论奠基
发明家|技术创新者
革新者|改革创新者
开拓者|领域开拓
探索者|技术探索
研究者|科研人员
科学家|科学研究
学者|学术研究
专家|专业人才
权威|权威专家
大师|行业大师
泰斗|泰斗级人物
权威|权威认证
认证|资格认证
资质|专业资质
执业|执业资格
上岗|上岗证书
职称|专业职称
职务|职业职务
岗位|工作职位
职位|担任职位
角色|扮演角色
职责|工作职责
职能|职能范围
任务|工作任务
项目|负责项目
工程|工程项目
任务|项目任务
课题|研究课题
研究|科研研究
实验|科学实验
试验|产品试验
测试|产品测试
检测|质量检测
检验|产品检验
鉴定|专业鉴定
认证|资格认证
审核|审查核实
审批|批准许可
备案|登记备案
登记|注册登记
注册|执业注册
执照|营业执照
牌照|许可牌照
资质|经营资质
许可|行政许可
批准|官方批准
授权|授权许可
委托|委托代理
代理|代理服务
中介|中介服务
经纪|经纪服务
外包|外包服务
承包|承包服务
租赁|租赁服务
出租|出租服务
承揽|承揽业务
加工|来料加工
定制|定制生产
代工|委托加工
贴牌|OEM生产
ODM|设计生产
生产|产品生产
制造|机械制造
加工|精密加工
装配|设备装配
维修|设备维修
保养|设备保养
维护|日常维护
检修|定期检修
改造|设备改造
升级|系统升级
更新|产品更新
研发|产品研发
设计|产品设计
创新|技术创新
发明|技术发明
专利|知识产权
版权|著作权
商标|品牌商标
品牌|品牌形象
专利|发明专利
实用新型|实用专利
外观设计|外观专利
著作权|版权登记
软件著作权|软件版权
专利申请|专利申报
专利代理|专利代理
专利审查|专利审查
专利无效|专利无效
专利诉讼|专利纠纷
商标注册|商标申请
商标代理|商标代理
商标分类|商标类别
商标续展|商标延期
商标转让|商标变更
版权登记|版权注册
版权代理|版权代理
版权许可|版权授权
版权转让|版权转让
版权诉讼|版权纠纷
著作权|文字著作权
摄影著作权|摄影版权
美术著作权|美术版权
音乐著作权|音乐版权
影视著作权|影视版权
软件著作权|软件版权
设计著作权|设计版权
商标权|商标权利
专利权|专利权利
著作权|著作权利
知识产权|智力成果权
无形资|无形资产权
智力成果|知识产权
智慧财产|智慧产权
 IPR |知识产权

[自由]
主播|网络主播
网红|社交媒体红人
自由职业|自由职业者
自由画家|自由绘画
自由撰稿人|自由写作
自由摄影师|自由摄影
自由设计师|自由设计
自由翻译|自由翻译
自由讲师|自由培训
自由咨询|自由顾问
自由顾问|独立顾问
独立制作人|独立影视
独立音乐人|独立音乐
独立作家|独立写作
自由职业|灵活就业
兼职|兼职工作
副业|第二职业
斜杠|斜杠青年
创业|自主创业
个体|个体经营
小生意|小本经营
微创业|轻量创业
私活|私活接单
外包|自由外包
自由职业|自由职业人
 SOHO |在家办公
自由职业者|自由职业
威客|网络威客
猪八戒|威客网站
一品威客|威客平台
 freelancer |自由职业者
自由人|自由职业人
自由职业|自由职业
自由职业|自由职业
自由职业|自由职业

[其他]
家庭主妇|全职太太
无业|待业中
待业|等待就业
失业|失去工作
退休|退休人员
休养|疗养休息
病假|因病休息
产假|生育休假
哺乳假|哺乳期假
年假|年度休假
事假|事因请假
旷工|擅自缺勤
请假|请假休息
离职|离职待业
辞职|主动离职
辞退|被解雇
裁员|经济性裁员
内退|内部退休
病退|因病退休
退职|退职修养
待退休|等待退休
离休|离职休养
停薪留职|保留职位
停职|暂停职务
撤职|免除职务
免职|免除职位
降职|降低职位
调职|岗位调动
转岗|职位转换
晋升|职位提升
升职|职位晋升
降薪|降低薪资
加薪|薪资提升
分红|利润分红
奖金|绩效奖金
提成|销售提成
佣金|服务佣金
代理费|代理佣金
中介费|服务中介费
服务费|专业服务费
咨询费|顾问咨询费
顾问费|专家顾问费
代理费|业务代理费
经纪费|经纪服务费
好处费|额外收益
回扣|商业回扣
佣金|商业佣金
提成|业绩提成
奖金|业绩奖金
分红|利润分享
期权|股票期权
股权|公司股权
股份|股份持有
股票|上市公司股份
原始股|原始股份
限售股|限制流通股
解禁股|可流通股票
配股|配股认购
增发|定向增发
IPO|首次公开发行
上市|股票上市
退市|股票退市
 ST |特别处理
退市|终止上市
破产|公司破产
倒闭|企业倒闭
停业|暂停营业
注销|公司注销
吊销|执照吊销
撤销|许可撤销
废止|法规废止
无效|合同无效
过期|资质过期
失效|功能失效
作废|票据作废
销毁|物品销毁
废弃|废弃物
垃圾|生活垃圾
废物|工业废物
残渣|生产残渣
废料|加工废料
余料|剩余材料
废品|报废产品
次品|不合格品
瑕疵品|有小缺陷
正品|合格产品
优等品|优质产品
一等品|一级产品
合格品|符合标准
优良品|品质优良
精品|精致产品
正品|正版产品
真品| genuine
A货|高仿产品
原单|原单产品
尾单|尾货处理
外贸原单|出口尾单
原版| original
高仿|精细仿制
精仿|精工仿制
 A级| A级产品
 B级| B级产品
 C级| C级产品
 D级| D级产品
等外品|等外级
处理品|特价处理
特价| special price
促销| promotion sale
打折| discount sale
优惠| preferential
赠品| gift item
奖品| prize gift
中奖| winning prize
抽奖| lottery draw
摇号| ballot draw
抽签| draw lots
抓阄| draw lots
拈阄| decide by lot
运气| luck
命运| fate
宿命| destiny
运气| fortune
机遇| opportunity
机会| chance
运气好| lucky
运气差| unlucky
福气| blessing
运气| luck
吉利| auspicious
不吉利| inauspicious
幸运| fortunate
不幸| unfortunate
好运| good luck
坏运| bad luck
财运| financial luck
偏财运|横财运
正财运|正财运
官运| official career
桃花运| romantic luck
艳遇| romantic encounter
桃花| romance
艳福| romantic fortune
桃花劫| romantic disaster
桃花煞| romantic obstacle
红鸾| love star
天喜| heavenly joy
咸池| pooling place
沐浴| bathing
冠带| crown and belt
临官| approaching officer
帝旺| imperial prosperity
衰| decline
病| illness
死| death
墓| tomb
绝| extinction
胎| fetus
养| nurturing
长生| long life
沐浴| bathing
冠带| crown
临官| approaching
帝旺| imperial
衰| decline
病| disease
死| death
墓| tomb
绝| extinction
胎| fetus
养| nurturing
长生| longevity
沐浴| bathing
冠带| crown
临官| approaching
帝旺| peak
衰| declining
病| sick
死| dead
墓| buried
绝| extinct
胎| conception
养| raising
长生| long life
沐浴| bathing
冠带| crowned
临官| taking office
帝旺| prosperity
衰| declining
病| ill
死| dead
墓| tomb
绝| ending
胎| pregnant
养| nurturing
