# 出身背景预设模板
# 格式：名称|描述

[普通]
普通家庭|来自普通家庭
创业|创业经历
破产|经历破产
失业|曾失业经历
失学|失去受教育机会
流浪|有过流浪经历
搬迁|多次搬迁经历
出国|长期出国经历
回国|海归经历
参军|服兵役经历
退伍|退伍军人
入狱|服刑经历
劳教|劳动教养经历
戒毒|戒毒经历
戒酒|戒酒经历
网瘾|网瘾经历
戒网瘾|戒除网瘾经历
心理治疗|接受过心理治疗
催眠治疗|催眠治疗经历
灵修|灵修经历
出家|出家修行经历
还俗|还俗后生活
隐居|隐居生活
闭关|闭关修炼
修行|宗教修行
朝圣|朝圣之旅
参禅|禅修经历
冥想|冥想练习
气功|气功修炼
瑜伽修行|瑜伽修行
辟谷|辟谷养生经历

[家族]
名门望族|名门望族之后
书香世家|世代读书人家
将门之后|武将家族后代
商贾之家|商人家族
演艺世家|演艺家族
政治世家|政治家族
医学世家|医学传承
教育世家|教育世家
法律世家|法律家族
科研世家|科研家族
艺术世家|艺术家族
音乐世家|音乐家族
体育世家|体育家族
军警世家|军警家族
华侨世家|华侨家族
帮派世家|帮派家族
江湖世家|江湖门派
武林世家|武林门派
修仙世家|修仙家族
魔法世家|魔法家族
精灵家族|精灵族裔
龙族血脉|龙族后裔
神族血统|神族后裔
天使血脉|天使后裔
恶魔血统|恶魔后裔
吸血鬼家族|吸血鬼贵族
狼人血脉|狼人后裔
人鱼族|人鱼族裔
兽耳族|兽耳族裔
矮人族|矮人种族
巨人族|巨人种族
妖精族|妖精族裔
精灵使|精灵契约者
召唤师|召唤师传承
炼金术师|炼金术传承
巫师|巫师血脉
女巫|女巫传承
占卜师|占卜师家族
预言家|预言家血统
守望者|守望者组织
裁决者|裁决者家族
执行者|执行者血脉
复仇者|复仇者联盟
守护者|守护者家族
继承者|继承者血统
转世者|转世重生者
穿越者|穿越时空者
重生者|重生者
系统拥有者|系统宿主
觉醒者|能力觉醒者
变异者|变异进化者
改造人|机械改造人
生化人|生化实验体
克隆人|克隆技术产物
人工智能|AI生命体
机器人|机械生命体
人造人|人造生命
合成人|合成生命体
外星人|外星生命
半机械人|半机械生命
赛博格|赛博格改造
纳米生命|纳米机器人生命体
能量生命|纯能量生命体
灵体|灵魂形态生命
幽灵|幽灵生命体
亡灵|亡者生命
鬼魂|鬼魂生命
妖精|妖精生命体
精灵|元素精灵
元素生命|元素精灵
自然灵|自然精灵
森林精灵|森林守护者
草原精灵|草原生命体
海洋精灵|海洋生命体
火焰精灵|火焰生命体
冰霜精灵|冰霜生命体
雷电精灵|雷电生命体
风暴精灵|风暴生命体
月光精灵|月光生命体
太阳精灵|太阳生命体
星辰精灵|星辰生命体
时间精灵|时间生命体
空间精灵|空间生命体
梦境精灵|梦境生命体
幻象精灵|幻象生命体
治愈精灵|治愈生命体
战斗精灵|战斗生命体
智慧精灵|智慧生命体
情感精灵|情感生命体
爱神|爱神后裔
美神|美神血统
智慧女神|智慧女神后裔
胜利女神|胜利女神血统
战争女神|战争女神后裔
月亮女神|月亮女神后裔
太阳神|太阳神后裔
海神|海神后裔
风神|风神后裔
雷神|雷神后裔
火神|火神后裔
水神|水神后裔
土神|土神后裔
死神|死神血脉
冥神|冥神后裔
邪神|邪神血统
恶神|恶神后裔
堕天使|堕天使血统
天使长|天使长血统
大天使|大天使血脉
炽天使|炽天使血统
智天使|智天使血脉
力天使|力天使血脉
权天使|权天使血脉
能天使|能天使血脉
主天使|主天使血脉
座天使|座天使血脉
普天使|普天使血脉
圣灵|圣灵转世
基督|基督转世
弥赛亚|弥赛亚转世
如来|如来转世
佛陀|佛陀转世
菩萨|菩萨转世
罗汉|罗汉转世
金刚|金刚转世
法身|法身转世
元神|元神转世
金丹|金丹大道修者
元婴|元婴期修者
化神|化神期修者
合体|合体期修者
大乘|大乘期修者
渡劫|渡劫期修者
仙人|仙人血脉
天神|天神血统
地仙|地仙血统
天仙|天仙血统
金仙|金仙血统
大罗金仙|大罗金仙血统
准圣|准圣血脉
圣人|圣人血统
混元大罗金仙|混元大罗金仙
