# 种族预设模板
# 格式：名称|描述

[人类]
厉鬼|凶恶之魂
恶鬼|凶猛鬼魂
凶灵|凶险灵体
邪灵|邪恶灵体
妖魔|妖怪
妖精|精怪
妖邪|邪恶妖怪
怪物|魔物
魔物|魔法生物
精灵|元素精灵
精灵|仙灵
精灵| fairy
 fairy |小精灵
elf |精灵
小精灵|微型精灵
森林精灵|林地精灵
暗精灵|黑暗精灵
光精灵|光明精灵
水精灵|水元素精灵
火精灵|火元素精灵
风精灵|风元素精灵
土精灵|土元素精灵
冰精灵|冰元素精灵
雷精灵|雷元素精灵
光精灵|光元素精灵
暗精灵|暗元素精灵
月精灵|月光精灵
日精灵|太阳精灵
星辰精灵|星灵
梦境精灵|梦灵
幻象精灵|幻灵
自然精灵|自然之灵
元素精灵|四大元素
元素生物|元素生命
元素使|元素法师
元素大师|元素掌控
召唤精灵|契约精灵
契约精灵|召唤兽
使魔|魔法使魔
魔宠|主人魔物
守护灵|守护精灵
式神|日本式神
式灵|契约式神
式鬼|式神鬼
式天使|天使式神
精灵使|精灵契约者
精灵法师|精灵魔法使
精灵射手|精灵弓箭手
精灵战士|精灵武士
精灵骑士|精灵骑
精灵王|精灵王者
精灵女王|精灵女王
精灵公主|精灵公主
精灵王子|精灵王子
精灵长老|精灵族长老
精灵祭司|精灵神职
精灵贤者|精灵智者
精灵法师|精灵魔导
精灵术士|精灵巫师
精灵吟游者|精灵诗人
精灵游侠|精灵斥候
精灵刺客|精灵暗杀者
精灵盗贼|精灵窃贼
精灵铁匠|精灵锻造
精灵炼金|精灵炼金术
精灵附魔|精灵附魔师
精灵附魔|精灵魔法
精灵德鲁伊|自然法师
精灵游侠|森林守护
精灵守卫|边境守卫
精灵王|精灵王
精灵王| elven king
 elven queen |精灵女王
 elf lord |精灵领主
 elf lady |精灵贵妇
 elf warrior |精灵战士
 elf mage |精灵法师
 elf ranger |精灵游侠
 elf thief |精灵盗贼
 elf bard |精灵吟游
 elf priest |精灵祭司
 elf druid |精灵德鲁伊
 elf paladin |精灵圣骑
 elf rogue |精灵刺客
 elf cleric |精灵牧
 elf monk |精灵武僧
 elf warlock |精灵术士
 elf witch |精灵女巫
 elf wizard |精灵法师
 elf sorcerer |精灵巫师
 elf enchanter |精灵附魔
 elf transmuter |精灵炼金
 elf necromancer |精灵死灵
 elf illusionist |精灵幻术
 elf diviner |精灵预言
 elf conjurer |精灵召唤
 elf evoker |精灵元素
 elf abjurer |精灵防护
 elf transmuter |精灵变化
 elf enchantress |精灵女
 elf sorceress |精灵女巫
 elf witch |精灵巫女
 elf mage |精灵法师
 elf wizard |精灵巫师
 elf lady |精灵贵妇
 elf lord |精灵领主
 elf king |精灵王
 elf queen |精灵女王
 elf prince |精灵王子
 elf princess |精灵公主
 elf elder |精灵长老
 elf elder |精灵长者
 elf sage |精灵贤者
 elf wise |精灵智者
 elf seer |精灵先知
 elf mystic |精灵秘术
 elf occultist |精灵神秘
 elf occult |精灵奥秘
 elf arcanist |精灵奥术
 elf sorcerer |精灵术士
 elf mage |精灵法师

[奇幻]
精灵|森林精灵
暗精灵|黑暗精灵
天使|天使种族
恶魔|恶魔种族
吸血鬼|吸血鬼种族
人鱼|海洋人鱼
兽耳|兽耳种族
龙娘|龙族血脉
光明精灵|光之精灵
黑暗精灵|暗夜精灵
月精灵|月光精灵
星精灵|星辰精灵
森林精灵|林地精灵
草原精灵|草原种族
山地精灵|山地种族
沙漠精灵|沙漠种族
极地精灵|冰原种族
深海精灵|海底精灵
天空精灵|云端种族
风精灵|风之精灵
水精灵|水之精灵
火精灵|火之精灵
土精灵|土之精灵
雷精灵|雷之精灵
冰精灵|冰之精灵
光精灵|光之精灵
暗精灵|暗之精灵
时间精灵|时之精灵
空间精灵|空之精灵
梦精灵|梦境精灵
幻精灵|幻想精灵
影精灵|影子精灵
雾精灵|雾气精灵
霜精灵|寒霜精灵
雪精灵|冰雪精灵
雨精灵|雨水精灵
风精灵|疾风精灵
雷精灵|雷电精灵
火精灵|烈焰精灵
水精灵|流水精灵
土精灵|大地精灵
木精灵|森林精灵
金精灵|金属精灵
银精灵|白银精灵
铜精灵|青铜精灵
铁精灵|钢铁精灵
水晶精灵|水晶种族
宝石精灵|宝石生命
钻石精灵|钻石生命
翡翠精灵|翡翠生命
红宝石精灵|红宝生命
蓝宝石精灵|蓝宝生命
绿宝石精灵|绿宝生命
珍珠精灵|珍珠生命
珊瑚精灵|珊瑚生命
琥珀精灵|琥珀生命
蜜蜡精灵|蜜蜡生命
松石精灵|松石生命
青金石精灵|青金生命
月光石精灵|月石生命
日光石精灵|日光生命
拉长石精灵|拉长生命
天河石精灵|天河生命
海蓝宝精灵|海蓝生命
摩根石精灵|摩根生命
锂辉石精灵|锂辉生命
紫水晶精灵|紫晶生命
黄水晶精灵|黄晶生命
粉水晶精灵|粉晶生命
白水晶精灵|白晶生命
黑曜石精灵|黑曜生命
月光石|月亮精华
日光石|太阳精华
拉长石|变彩精华
天河石|亚马逊精华
海蓝宝|海洋精华
摩根石|摩根精华
锂辉石|锂辉精华
紫水晶|紫晶精华
黄水晶|黄晶精华
粉水晶|粉晶精华
白水晶|白晶精华
黑曜石|黑曜精华
月光石|月华之精
日光石|日光之精
拉长石|虹彩之精
天河石|天来之石
海蓝宝|海之蓝宝
摩根石|摩根之石
锂辉石|锂辉之石
紫水晶|紫气东来
黄水晶|黄财之石
粉水晶|爱情之石
白水晶|水晶之王
黑曜石|辟邪之石
红宝石|红宝之石
蓝宝石|蓝宝之石
祖母绿|祖母绿宝
猫眼石|猫眼之石
欧泊石|变彩澳宝
碧玺|碧玺之石
石榴石|石榴宝石
坦桑石|坦桑尼亚石
红纹石|阿根廷石
舒俱来|南非石
异极矿|墨西哥石
孔雀石|铜绿之石
蓝铜矿|蓝铜之石
菱锰矿|红纹石
海纹石|拉利玛石
磷灰石|磷光石
矽线石|猫眼石
方柱石|紫色石
柱晶石|绿色石
蓝柱石|蓝色石
钙沸石|纤维石
斜锂辉石|紫色石
透辉石|铬透辉石
顽火辉石|顽火石
直闪石|透闪石
阳起石|绿色石
角闪石|黑色石
软玉|和田玉
岫岩玉|岫岩玉
独山玉|南阳玉
绿松石|土耳其石
青金石|阿富汗石
孔雀石|铜绿石
蓝铜矿|蓝铜石
菱锰矿|菱锰石
红宝石|刚玉之王
蓝宝石|刚玉之王
祖母绿|绿宝石王
金绿宝石|变石之王
尖晶石|红色之王
托帕石|黄玉之王
橄榄石|橄榄之石
石榴石|石榴之石
碧玺|电气石王
坦桑石|坦桑石王
月光石|月长石王
日光石|日光石王
拉长石|拉长石王
天河石|天河石王
海蓝宝|海蓝宝王
摩根石|摩根石王
锂辉石|锂辉石王
磷灰石|磷灰石王
矽线石|矽线石王
方柱石|方柱石王
柱晶石|柱晶石王
蓝柱石|蓝柱石王
钙沸石|钙沸石王
斜锂辉石|斜锂王
透辉石|透辉石王
顽火辉石|顽火王
直闪石|直闪石王
阳起石|阳起石王
角闪石|角闪石王
软玉|软玉之王
岫岩玉|岫岩玉王
独山玉|独山玉王
绿松石|松石之王
青金石|青金之王
孔雀石|孔雀石王
蓝铜矿|蓝铜石王
菱锰矿|菱锰石王
红宝石|红宝王
蓝宝石|蓝宝王
祖母绿|祖母绿王
金绿宝石|金绿王
尖晶石|尖晶王
托帕石|托帕王
橄榄石|橄榄王
石榴石|石榴王
碧玺|碧玺王
坦桑石|坦桑王
月光石|月长石王
日光石|日光石王
拉长石|拉长石王
天河石|天河王
海蓝宝|海蓝王
摩根石|摩根王
锂辉石|锂辉王
磷灰石|磷灰王
矽线石|矽线王
方柱石|方柱王
柱晶石|柱晶王
蓝柱石|蓝柱王
钙沸石|钙沸王
斜锂辉石|斜锂王
透辉石|透辉王
顽火辉石|顽火王
直闪石|直闪王
阳起石|阳起王
角闪石|角闪王
软玉|软玉王
岫岩玉|岫岩王
独山玉|独山王
绿松石|绿松王
青金石|青金王
孔雀石|孔雀王
蓝铜矿|蓝铜王
菱锰矿|菱锰王
红宝石|红宝石
蓝宝石|蓝宝石
祖母绿|祖母绿
金绿宝石|金绿宝石
尖晶石|尖晶石
托帕石|托帕石
橄榄石|橄榄石
石榴石|石榴石
碧玺|碧玺
坦桑石|坦桑石
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
磷灰石|磷灰石
矽线石|矽线石
方柱石|方柱石
柱晶石|柱晶石
蓝柱石|蓝柱石
钙沸石|钙沸石
斜锂辉石|斜锂辉石
透辉石|透辉石
顽火辉石|顽火辉石
直闪石|直闪石
阳起石|阳起石
角闪石|角闪石
软玉|软玉
岫岩玉|岫岩玉
独山玉|独山玉
绿松石|绿松石
青金石|青金石
孔雀石|孔雀石
蓝铜矿|蓝铜矿
菱锰矿|菱锰矿
红宝石|红宝石
蓝宝石|蓝宝石
祖母绿|祖母绿
金绿宝石|金绿宝石
尖晶石|尖晶石
托帕石|托帕石
橄榄石|橄榄石
石榴石|石榴石
碧玺|碧玺
坦桑石|坦桑石
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
磷灰石|磷灰石
矽线石|矽线石
方柱石|方柱石
柱晶石|柱晶石
蓝柱石|蓝柱石
钙沸石|钙沸石
斜锂辉石|斜锂辉石
透辉石|透辉石
顽火辉石|顽火辉石
直闪石|直闪石
阳起石|阳起石
角闪石|角闪石
软玉|软玉
岫岩玉|岫岩玉
独山玉|独山玉
绿松石|绿松石
青金石|青金石
孔雀石|孔雀石
蓝铜矿|蓝铜矿
菱锰矿|菱锰矿
红宝石|红宝石
蓝宝石|蓝宝石
祖母绿|祖母绿
金绿宝石|金绿宝石
尖晶石|尖晶石
托帕石|托帕石
橄榄石|橄榄石
石榴石|石榴石
碧玺|碧玺
坦桑石|坦桑石
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
磷灰石|磷灰石
矽线石|矽线石
方柱石|方柱石
柱晶石|柱晶石
蓝柱石|蓝柱石
钙沸石|钙沸石
斜锂辉石|斜锂辉石
透辉石|透辉石
顽火辉石|顽火辉石
直闪石|直闪石
阳起石|阳起石
角闪石|角闪石

[神话]
六翼天使|六翼天使神族
天使|天使
炽天使|六翼天使
智天使|八翼天使
力天使|六翼天使
权天使|四翼天使
能天使|六翼天使
主天使|四翼天使
座天使|六翼天使
普天使|二翼天使
大天使|双翼天使
天使|单翼天使
小天使|小天使
天使长|九级天使
加百列|智天使长
米迦勒|炽天使长
拉斐尔|智天使长
乌列尔|炽天使长
拉结尔|智天使长
圣德芬|座天使长
沙利叶|普天使长
亚纳尔|大天使长
小天使|低阶天使
中天使|中阶天使
大天使|高阶天使
炽天使|九级天使
智天使|八级天使
座天使|七级天使
权天使|六级天使
能天使|五级天使
主天使|四级天使
普天使|三级天使
大天使|二级天使
天使|一级天使
神|至高存在
女神|女性神明
男神|男性神明
天神|天界诸神
地神|地界诸神
海神|海洋诸神
山神|山岳诸神
河神|河流诸神
湖神|湖泊诸神
海神|海洋主宰
龙王|水域主宰
海王|海洋之王
河神|河流之王
湖神|湖泊之王
山神|山岳之王
风神|风之主宰
雨神|雨之主宰
雷神|雷之主宰
电神|电之主宰
火神|火之主宰
水神|水之主宰
土神|土之主宰
木神|木之主宰
金神|金之主宰
光神|光之主宰
暗神|暗之主宰
月神|月亮女神
日神|太阳神
星神|星辰之神
晨神|黎明女神
暮神|黄昏之神
夜神|黑夜之神
昼神|白昼之神
春神|春天之神
夏神|夏天之神
秋神|秋天之神
冬神|冬天之神
花神|花朵女神
草神|草地之神
树神|树木之神
林神|森林之神
山神|山峰之神
谷神|山谷之神
河神|河流之神
湖神|湖泊之神
海神|海洋之神
泉神|泉水之神
井神|水井之神
雪神|冰雪之神
霜神|寒霜之神
雾神|迷雾之神
云神|云彩之神
风神|狂风之神
飓风|飓风之神
风暴|风暴之神
雷神|雷电之神
电神|闪电之神
火神|火焰之神
灶神|灶火之神
炉神|炉火之神
太阳神|阿波罗
太阳神|拉
太阳神|天照
月神|阿尔忒弥斯
月神|月亮女神
爱神|维纳斯
爱神|丘比特
战神|阿瑞斯
战神|雅典娜
智慧神|雅典娜
智慧神|摩诃迦罗
海神|波塞冬
海神|尼普顿
冥神|哈迪斯
冥神|普鲁托
死神|塔纳托斯
死神|阎罗王
财神|赵公明
财神|比干
福神|福禄寿
禄神|福禄寿
寿神|南极仙翁
喜神|喜神
祸神|祸神
瘟神|瘟疫之神
痘神|天花之神
药神|神农氏
医神|华佗
医神|扁鹊
茶神|陆羽
酒神|杜康
诗神|缪斯
乐神|阿波罗
舞神|湿婆
舞神|毗湿奴
毁灭神|湿婆
创造神|梵天
守护神|毗湿奴
破坏神|湿婆
审判神|阎罗王
正义神|正义女神
法律神|忒弥斯
真理神|真理女神
命运神|命运三女神
时序神|时序女神
报应神|因果之神
复仇神|复仇女神
和平神|和平之神
战争神|战争之神
智慧神|智慧女神
美神|美之女神
爱神|爱之女神
欲神|欲望之神
梦神|梦之神
睡神|睡眠之神
死神|死亡之神
冥神|冥界之王
冥后|冥界王后
冥妃|冥界妃子
冥将|冥界将领
冥兵|冥界士兵
冥鬼|冥界鬼魂
冥灵|冥界灵魂
冥魂|冥界魂魄
幽灵|幽魂
鬼魂|鬼魂
亡灵|亡者之魂
冤魂|含冤之魂
厉鬼|凶厉之鬼
恶鬼|凶恶之鬼
小鬼|小鬼
大头鬼|大头鬼
吊死鬼|吊死之鬼
淹死鬼|淹死之鬼
烧死鬼|烧死之鬼
饿死鬼|饿死之鬼
冻死鬼|冻死之鬼
病死鬼|病死之鬼
老鬼|老鬼
少鬼|少鬼
男鬼|男鬼
女鬼|女鬼
艳鬼|美丽女鬼
俊鬼|英俊男鬼
善鬼|善良之鬼
恶鬼|凶恶之鬼
好鬼|好鬼
坏鬼|坏鬼
野鬼|孤魂野鬼
家鬼|家宅之鬼
庙鬼|寺庙之鬼
坟鬼|坟墓之鬼
山鬼|山中之鬼
水鬼|水中之鬼
火鬼|火中之鬼
树鬼|树中之鬼
石鬼|石中之鬼
金鬼|金属之鬼
银鬼|白银之鬼
铜鬼|黄铜之鬼
铁鬼|铁之鬼
玉鬼|玉石之鬼
水晶鬼|水晶之鬼
宝石鬼|宝石之鬼
珍珠鬼|珍珠之鬼
珊瑚鬼|珊瑚之鬼
琥珀鬼|琥珀之鬼
蜜蜡鬼|蜜蜡之鬼
松石鬼|松石之鬼
青金石鬼|青金之鬼
月光石鬼|月石之鬼
日光石鬼|日光之鬼
拉长石鬼|拉长之鬼
天河石鬼|天河之鬼
海蓝宝鬼|海蓝之鬼
摩根石鬼|摩根之鬼
锂辉石鬼|锂辉之鬼
红宝石鬼|红宝之鬼
蓝宝石鬼|蓝宝之鬼
祖母绿鬼|祖母之鬼
金绿宝石鬼|金绿之鬼
尖晶石鬼|尖晶之鬼
托帕石鬼|托帕之鬼
橄榄石鬼|橄榄之鬼
石榴石鬼|石榴之鬼
碧玺鬼|碧玺之鬼
坦桑石鬼|坦桑之鬼
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
红宝石|红宝石
蓝宝石|蓝宝石
祖母绿|祖母绿
金绿宝石|金绿宝石
尖晶石|尖晶石
托帕石|托帕石
橄榄石|橄榄石
石榴石|石榴石
碧玺|碧玺
坦桑石|坦桑石
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
红宝石|红宝石
蓝宝石|蓝宝石
祖母绿|祖母绿
金绿宝石|金绿宝石
尖晶石|尖晶石
托帕石|托帕石
橄榄石|橄榄石
石榴石|石榴石
碧玺|碧玺
坦桑石|坦桑石
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
红宝石|红宝石
蓝宝石|蓝宝石
祖母绿|祖母绿
金绿宝石|金绿宝石
尖晶石|尖晶石
托帕石|托帕石
橄榄石|橄榄石
石榴石|石榴石
碧玺|碧玺
坦桑石|坦桑石
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
红宝石|红宝石
蓝宝石|蓝宝石
祖母绿|祖母绿
金绿宝石|金绿宝石
尖晶石|尖晶石
托帕石|托帕石
橄榄石|橄榄石
石榴石|石榴石
碧玺|碧玺
坦桑石|坦桑石
月光石|月光石
日光石|日光石
拉长石|拉长石
天河石|天河石
海蓝宝|海蓝宝
摩根石|摩根石
锂辉石|锂辉石
