# 喜欢的事物预设模板
# 格式：名称|描述

[美食]
甜食|喜欢蛋糕、巧克力等甜食
玳瑁|喜欢海龟甲壳
砗磲|喜欢白色砗磲
绿松石|喜欢松石蓝
青金石|喜欢深蓝青金
红宝石|喜欢炽热红宝
蓝宝石|喜欢深邃蓝宝
祖母绿|喜欢翠绿祖母
猫眼石|喜欢猫眼光泽
欧泊|喜欢变彩欧泊
碧玺|喜欢多彩碧玺
石榴石|喜欢酒红石榴
水晶|喜欢透明水晶
紫水晶|喜欢神秘紫晶
黄水晶|喜欢财富黄晶
粉水晶|喜欢招桃花晶
白水晶|喜欢纯净白晶
黑曜石|喜欢辟邪黑曜
月光石|喜欢月光柔和
日光石|喜欢阳光日光
拉长石|喜欢变彩拉长
天河石|喜欢蓝色天河
海蓝宝|喜欢海洋蓝色
摩根石|喜欢粉色摩根
锂辉石|喜欢紫锂辉石
榍石|喜欢火彩榍石
锆石|喜欢闪亮锆石
坦桑石|喜欢深邃坦桑
橄榄石|喜欢橄榄绿色
葡萄石|喜欢浅绿葡萄
红纹石|喜欢粉色红纹
舒俱来|喜欢皇家舒俱
绿幽灵|喜欢招财绿幽灵
发晶|喜欢发光发晶
钛晶|喜欢金色钛晶
幽灵水晶|喜欢彩色幽灵
水胆水晶|喜欢包裹水胆
水晶球|喜欢占卜水晶
水晶簇|喜欢天然晶簇
水晶柱|喜欢能量水晶
紫龙晶|喜欢紫蓝紫龙
青金石|喜欢蓝绿青金
南红|喜欢中国南红
战国红|喜欢鲜艳战国红
红碧石|喜欢鸡肝红碧
阿拉善|喜欢多彩阿拉善
戈壁石|喜欢戈壁风光
松石|喜欢美国松石
蓝松|喜欢美国蓝松
绿松|喜欢湖北绿松
铁线松|喜欢网花绿松
乌兰花|喜欢完美乌兰
菜籽黄|喜欢黄绿菜籽
唐三彩|喜欢三彩唐三彩
水波纹|喜欢水波绿松
水草松|喜欢水草风景
墨松|喜欢黑色绿松
石纹|喜欢纹理石头
奇石|喜欢天然奇石
观赏石|喜欢案头风景
太湖石|喜欢漏透太湖
灵璧石|喜欢黑色灵璧
昆石|喜欢白色昆石
英石|喜欢岭南英石
黄蜡石|喜欢黄色蜡石
黄龙玉|喜欢云南黄龙
台山玉|喜欢广东台山
黄蜡石|喜欢广西黄蜡
戈壁玉|喜欢新疆戈壁
和田玉|喜欢新疆和田
羊脂白玉|喜欢羊脂白润
青白玉|喜欢青白细腻
青玉|喜欢青色稳重
碧玉|喜欢绿色菠菜
墨玉|喜欢黑色墨玉
糖玉|喜欢甜蜜糖色
翠青|喜欢清新翠青
青海玉|喜欢青海白玉
俄料|喜欢俄罗斯玉
韩料|喜欢韩国和田
巴料|喜欢巴基斯坦玉
罗甸玉|喜欢贵州罗甸
析木玉|喜欢辽宁析木
河磨玉|喜欢河磨籽料
岫岩玉|喜欢辽宁岫岩
独山玉|喜欢南阳独山
绿松石|喜欢湖北绿松
孔雀石|喜欢绿色孔雀
青金石|喜欢蓝金青金
蓝铜矿|喜欢蓝色铜矿
菱锰矿|喜欢红色菱锰
异极矿|喜欢蓝色异极
硅孔雀|喜欢绿色硅孔
红宝石|喜欢天然红宝
蓝宝石|喜欢皇家蓝宝
祖母绿|喜欢哥伦比亚
金绿宝石|喜欢猫眼变石
尖晶石|喜欢红色尖晶
托帕石|喜欢蓝色托帕
橄榄石|喜欢埃及橄榄
石榴石|喜欢紫牙乌
碧玺|喜欢彩色碧玺
坦桑石|喜欢坦桑尼亚
锆石|喜欢立方氧化锆
月光石|喜欢冰长月光
日光石|喜欢砂金日光
拉长石|喜欢变彩拉长
天河石|喜欢亚马逊河
海蓝宝|喜欢巴西海蓝
摩根石|喜欢粉色摩根
锂辉石|喜欢紫锂辉石
磷灰石|喜欢蓝色磷灰
矽线石|喜欢猫眼矽线
方柱石|喜欢紫色方柱
柱晶石|喜欢绿色柱晶
蓝柱石|喜欢蓝色蓝柱
海纹石|喜欢拉利玛蓝
钙沸石|喜欢纤维沸石
斜锂辉石|喜欢紫色锂辉
透辉石|喜欢铬透辉石
顽火辉石|喜欢顽火易解
直闪石|喜欢透闪直闪
阳起石|喜欢绿色阳起
角闪石|喜欢黑色角闪
软玉|喜欢和田软玉
岫岩玉|喜欢蛇纹岫岩
独山玉|喜欢南阳独山
绿松石|喜欢土耳其石
青金石|喜欢阿富汗青
孔雀石|喜欢铜绿孔雀
蓝铜矿|喜欢蓝铜共生
菱锰矿|喜欢阿根廷菱
异极矿|喜欢墨西哥异
硅孔雀|喜欢硅化孔雀
红宝石|喜欢缅甸鸽血
蓝宝石|喜欢克什米尔
祖母绿|喜欢木佐祖母
金绿宝石|喜欢斯里兰卡
尖晶石|喜欢缅甸绝地
托帕石|喜欢巴西托帕
橄榄石|喜欢中国橄榄
石榴石|喜欢南非沙弗
碧玺|喜欢巴西碧玺
坦桑石|喜欢马扎莱卡
月光石|喜欢印度月光
日光石|喜欢挪威日光
拉长石|喜欢加拿大拉
天河石|喜欢美国天河
海蓝宝|喜欢中国海蓝
摩根石|喜欢巴西摩根
锂辉石|喜欢美国锂辉
磷灰石|喜欢墨西哥磷

[活动]
旅行|喜欢到处旅游
购物|喜欢买东西
拍照|喜欢拍照留念
运动|喜欢运动健身
音乐|喜欢听音乐
电影|喜欢看电影

[人物]
年上|喜欢年长的人
年下|喜欢年轻的人
同类|喜欢同性
温柔|喜欢温柔的人
强势|喜欢强势的人
可爱|喜欢可爱的人

[其他]
被爱|喜欢被爱的感觉
浪漫|喜欢浪漫的氛围
惊喜|喜欢惊喜和礼物
陪伴|喜欢有人陪伴
自由|喜欢自由的感觉
金钱|喜欢金钱物质
权力|喜欢掌控权力

[活动扩展]
旅行|喜欢到处旅游
购物|喜欢买东西
拍照|喜欢拍照留念
运动|喜欢运动健身
音乐|喜欢听音乐
电影|喜欢看电影
登山|喜欢爬山运动
徒步|喜欢徒步旅行
露营|喜欢野外露营
钓鱼|喜欢垂钓休闲
骑行|喜欢自行车骑行
自驾|喜欢自驾旅游
滑雪|喜欢冰雪运动
冲浪|喜欢海上冲浪
潜水|喜欢水下潜水
跳伞|喜欢极限跳伞
攀岩|喜欢攀岩运动
跑步|喜欢跑步锻炼
健身|喜欢健身房锻炼
瑜伽|喜欢瑜伽练习
舞蹈|喜欢跳舞运动
拳击|喜欢拳击运动
武术|喜欢武术套路
太极|喜欢太极拳法
围棋|喜欢围棋对弈
象棋|喜欢中国象棋
国际象棋|喜欢西式棋类
麻将|喜欢搓麻娱乐
扑克|喜欢扑克牌戏
德州扑克|喜欢德州扑克
桌游|喜欢桌面游戏
剧本杀|喜欢推理剧本
密室逃脱|喜欢解谜游戏
电竞|喜欢电子竞技
主机游戏|喜欢主机游戏
手游|喜欢手机游戏
端游|喜欢电脑网络游戏
VR游戏|喜欢虚拟现实
AR游戏|喜欢增强现实
卡拉OK|喜欢唱歌娱乐
酒吧|喜欢酒吧氛围
夜店|喜欢夜店跳舞
演唱会|喜欢现场演唱会
音乐节|喜欢音乐节狂欢
戏剧|喜欢戏剧表演
话剧|喜欢话剧艺术
芭蕾|喜欢芭蕾舞剧
歌剧|喜欢歌剧艺术
展览|喜欢艺术展览
博物馆|喜欢博物馆参观
画廊|喜欢画廊欣赏
拍卖会|喜欢艺术品拍卖
古董市场|喜欢淘宝古董
二手市场|喜欢逛二手店
跳蚤市场|喜欢淘换物品
市集|喜欢逛市集
庙会|喜欢传统庙会
花市|喜欢花卉市场
鱼市|喜欢观赏鱼市
宠物市场|喜欢宠物交易
书展|喜欢图书展会
动漫展|喜欢动漫展会
游戏展|喜欢游戏展会
CJ|喜欢ChinaJoy
漫展|喜欢同人漫展
CP|喜欢ComicUP
BW|喜欢B站world
BH|喜欢BiliBili
直播|喜欢观看直播
短视频|喜欢刷短视频
Vlog|喜欢视频日志
B站|喜欢哔哩哔哩
抖音|喜欢抖音短视频
快手|喜欢快手视频
微博|喜欢刷微博
小红书|喜欢小红书种草
知乎|喜欢知识问答
豆瓣|喜欢豆瓣文艺
贴吧|喜欢贴吧社交
论坛|喜欢论坛灌水
博客|喜欢写博客
公众号|喜欢运营公众号
朋友圈|喜欢发朋友圈
空间|喜欢QQ空间
微博|喜欢刷微博热点
新闻|喜欢阅读新闻
资讯|喜欢浏览资讯
天气|喜欢关注天气
星座|喜欢研究星座
命理|喜欢命理分析
塔罗|喜欢塔罗占卜
易经|喜欢周易八卦
风水|喜欢家居风水
面相|喜欢面相学
手相|喜欢手相学
心理学|喜欢心理学知识
哲学|喜欢哲学思辨
历史|喜欢历史研究
地理|喜欢地理知识
天文|喜欢天文观测
物理|喜欢物理科学
化学|喜欢化学实验
生物|喜欢生物学识
医学|喜欢医学知识
法律|喜欢法律常识
经济|喜欢经济学
金融|喜欢金融投资
管理|喜欢管理学
营销|喜欢市场营销
编程|喜欢写代码
开发|喜欢程序开发
设计|喜欢设计创作
绘画|喜欢绘画艺术
书法|喜欢书法艺术
雕塑|喜欢雕塑艺术
摄影|喜欢拍照摄影
摄像|喜欢视频拍摄
剪辑|喜欢视频剪辑
配音|喜欢配音演绎
翻译|喜欢翻译工作
写作|喜欢文学创作
编剧|喜欢剧本创作
导演|喜欢影视导演
制片|喜欢影视制片
演艺|喜欢表演艺术
主持|喜欢主持人工作
播音|喜欢播音主持
DJ|喜欢打碟混音
作曲|喜欢音乐作曲
编曲|喜欢音乐编曲
演奏|喜欢乐器演奏
指挥|喜欢乐队指挥
歌唱|喜欢声乐演唱
舞蹈|喜欢舞蹈表演
魔术|喜欢魔术表演
杂技|喜欢杂技艺术
马戏|喜欢马戏团表演
脱口秀|喜欢单口喜剧
相声|喜欢相声艺术
小品|喜欢小品表演
评书|喜欢传统评书
快板|喜欢快板书
戏曲|喜欢传统戏曲
京剧|喜欢京剧艺术
越剧|喜欢浙江越剧
黄梅戏|喜欢安徽黄梅
评弹|喜欢苏州评弹
豫剧|喜欢河南豫剧
川剧|喜欢四川变脸
粤剧|喜欢广东粤剧
二人转|喜欢东北二人转
皮影戏|喜欢皮影艺术
木偶戏|喜欢木偶表演
歌舞剧|喜欢歌舞戏剧
音乐剧|喜欢百老汇剧
舞台剧|喜欢现场舞台
沉浸剧|喜欢沉浸式戏剧
密室剧|喜欢剧场密室
剧本朗读|喜欢剧本围读
声优|喜欢配音演员
COSER|喜欢角色扮演
道具师|喜欢道具制作
妆娘|喜欢化妆造型
裁缝|喜欢服装制作
美工|喜欢美术设计
建模|喜欢3D建模
原画|喜欢游戏原画
插画|喜欢商业插画
漫画家|喜欢漫画创作
小说家|喜欢小说写作
诗人|喜欢诗歌创作
词人|喜欢歌词创作
编剧|喜欢剧本编写
导演|喜欢影视导演
摄影|喜欢摄影艺术
摄像|喜欢摄像技术
剪辑|喜欢后期剪辑
特效|喜欢视觉特效
调色|喜欢影视调色
配乐|喜欢电影配乐
音效|喜欢声音设计
混音|喜欢音频混音
母带|喜欢母带处理
录音|喜欢录音棚录
棚录|喜欢专业录音
配音|喜欢配音工作
声优|喜欢日语配音
翻配|喜欢中文配音
同声传译|喜欢会议翻译
交替传译|喜欢陪同翻译
笔译|喜欢文字翻译
本地化|喜欢软件本地化
字幕|喜欢字幕翻译
校对|喜欢文字校对
编辑|喜欢编辑工作
排版|喜欢版面设计
出版|喜欢出版流程
发行|喜欢发行工作
营销|喜欢市场推广
宣发|喜欢宣传发行
票房|喜欢票房分析
口碑|喜欢口碑营销
IP|喜欢知识产权
版权|喜欢版权运营
授权|喜欢授权业务
周边|喜欢周边产品
衍生品|喜欢衍生开发
联名|喜欢品牌联名
跨界|喜欢跨界合作
代言|喜欢品牌代言
广告|喜欢广告创意
公关|喜欢公共关系
媒体|喜欢媒体关系
记者|喜欢新闻采访
编辑|喜欢报纸编辑
主编|喜欢杂志主编
总监|喜欢内容总监
创意|喜欢创意策划
策划|喜欢活动策划
执行|喜欢项目执行
管理|喜欢团队管理
领导|喜欢领导力
决策|喜欢战略决策
谈判|喜欢商务谈判
演讲|喜欢公众演讲
培训|喜欢技能培训
咨询|喜欢咨询服务
顾问|喜欢专业顾问
审计|喜欢财务审计
会计|喜欢会计核算
出纳|喜欢现金管理
投资|喜欢投资理财
融资|喜欢资本运作
并购|喜欢企业并购
上市|喜欢IPO流程
市值|喜欢市值管理
分红|喜欢股票分红
期权|喜欢期权激励
信托|喜欢财富信托
保险|喜欢保险保障
理财|喜欢个人理财
基金|喜欢基金投资
债券|喜欢固定收益
外汇|喜欢汇率交易
期货|喜欢期货投机
期权|喜欢期权交易
黄金|喜欢黄金投资
收藏|喜欢艺术品收藏
拍卖|喜欢竞拍珍品
捡漏|喜欢淘宝捡漏
鉴赏|喜欢专业鉴赏
鉴定|喜欢物品鉴定
修复|喜欢文物修复
复制|喜欢高仿复制
临摹|喜欢书画临摹
临画|喜欢古画临摹
书临|喜欢书法临帖
刻章|喜欢印章篆刻
装裱|喜欢书画装裱
修复|喜欢古籍修复
复制|喜欢文物复制
临展|喜欢专题展览
常设展|喜欢常设展览
巡回展|喜欢巡回展出
个展|喜欢个人画展
联展|喜欢联合展览
双年展|喜欢双年展会
三年展|喜欢三年展会
文献展|喜欢文献资料
文献展|喜欢档案文献
回顾展|喜欢回顾历史
个展|喜欢艺术家个展
群展|喜欢集体展出
装置|喜欢空间装置
行为艺术|喜欢现场表演
观念艺术|喜欢思想表达
涂鸦|喜欢街头涂鸦
墙绘|喜欢壁画创作
地绘|喜欢地面彩绘
沙画|喜欢沙画表演
冰雕|喜欢冰雕艺术
雪雕|喜欢雪雕创作
冰灯|喜欢冰灯展览
冰展|喜欢冰雪展览
冰演|喜欢冰上表演
雪演|喜欢雪地演出
灯展|喜欢灯光展览
灯会|喜欢传统灯会
花灯|喜欢元宵花灯
彩灯|喜欢彩色灯笼
灯笼|喜欢红灯笼
风筝|喜欢放风筝
空竹|喜欢抖空竹
陀螺|喜欢抽陀螺
弹珠|喜欢弹珠游戏
纸牌|喜欢纸牌游戏
棋牌|喜欢棋牌娱乐
麻将|喜欢麻将打法
纸鸢|喜欢风筝飞行
踢毽|喜欢踢毽子
跳绳|喜欢跳绳运动
捉迷藏|喜欢躲猫猫
丢手绢|喜欢传统游戏
老鹰捉小鸡|喜欢童年游戏
跳房子|喜欢跳格游戏
翻绳|喜欢翻花绳
折纸|喜欢折纸艺术
剪纸|喜欢窗花剪纸
泥人|喜欢捏泥人
面人|喜欢捏面人
糖人|喜欢吹糖人
糖画|喜欢画糖画
皮影|喜欢皮影制作
木偶|喜欢木偶制作
脸谱|喜欢戏曲脸谱
面具|喜欢各种面具
假面|喜欢假面舞会
Cosplay|喜欢角色扮演
汉服|喜欢传统汉服
Lolita|喜欢洛丽塔裙
JK|喜欢jk制服
制服|喜欢职业制服
正装|喜欢西装革履
休闲|喜欢休闲穿搭
潮流|喜欢潮流时尚
复古|喜欢复古风格
民族|喜欢民族服饰
婚纱|喜欢白色婚纱
礼服|喜欢晚礼服
古装|喜欢历史服装
戏服|喜欢表演戏服
COS|喜欢COSPLAY
道具|喜欢角色道具
假发|喜欢各色假发
美瞳|喜欢彩色美瞳
指甲|喜欢美甲艺术
妆容|喜欢精致妆容
整形|喜欢医美微调
美容|喜欢护肤美容
美发|喜欢发型设计
美体|喜欢身体护理
SPA|喜欢水疗按摩
瑜伽|喜欢瑜伽健身
健身|喜欢力量训练
跑步|喜欢有氧运动
游泳|喜欢游泳运动
骑行|喜欢自行车运动
登山|喜欢登山运动
滑雪|喜欢冰雪运动
冲浪|喜欢水上运动
潜水|喜欢水下运动
瑜伽|喜欢身心修行
冥想|喜欢静心冥想
禅修|喜欢禅坐修行
灵修|喜欢心灵成长
占卜|喜欢命理占卜
塔罗|喜欢塔罗牌占
易经|喜欢周易八卦
星座|喜欢星座运势
卜卦|喜欢六爻预测
抽签|喜欢求签问卜
求签|喜欢寺庙求签
许愿|喜欢许愿祈福
还愿|喜欢还愿答谢
祭祀|喜欢传统祭祀
祭祖|喜欢祖先祭祀
拜神|喜欢神灵崇拜
祈福|喜欢祈福平安
辟邪|喜欢镇宅辟邪
风水|喜欢家居风水
命理|喜欢算命看相
面相|喜欢相面术数
手相|喜欢掌纹分析
骨相|喜欢骨骼相法
体相|喜欢身体相法
姓名学|喜欢姓名分析
八字|喜欢命理八字
紫微斗数|喜欢紫微命盘
铁板神数|喜欢铁板神数
奇门遁甲|喜欢奇门遁甲
六壬|喜欢大六壬
六爻|喜欢六爻占卜
梅花易数|喜欢梅花易数
文王卦|喜欢文王圣卦
金钱卦|喜欢金钱课
灵棋经|喜欢灵棋经占
诸葛神数|喜欢诸葛神数
测字|喜欢拆字算命
相术|喜欢相术研究
相学|喜欢相学知识
命相|喜欢命相合一
相人|喜欢观察相人
识人|喜欢鉴别人才
用人|喜欢知人善用
交友|喜欢结交朋友
社交|喜欢社交活动
聚会|喜欢参加聚会
派队|喜欢举办派对
沙龙|喜欢主题沙龙
论坛|喜欢参加论坛
峰会|喜欢行业峰会
年会|喜欢公司年会
展会|喜欢参加展会
博览会|喜欢大型博览
展销会|喜欢商品展销
订货会|喜欢供应商会
推介会|喜欢产品推介
发布会|喜欢新闻发布
记者会|喜欢媒体见面
见面会|喜欢粉丝见面
签售会|喜欢作者签售
演唱会|喜欢歌手演唱会
歌友会|喜欢粉丝歌会
粉丝会|喜欢粉丝聚会
应援|喜欢偶像应援
打榜|喜欢投票打榜
控评|喜欢网络控评
反黑|喜欢反黑行动
超话|喜欢明星超话
论坛|喜欢粉丝论坛
贴吧|喜欢偶像贴吧
微博|喜欢明星微博
小红书|喜欢明星同款
抖音|喜欢短视频平台
快手|喜欢直播带货
B站|喜欢弹幕视频
油管|喜欢YouTube
推特|喜欢Twitter
INS|喜欢Instagram
脸书|喜欢Facebook
电报|喜欢Telegram
瓦片|喜欢Discord
阅后即焚|喜欢Snapchat
抖音|喜欢短视频
快手|喜欢老铁文化
直播|喜欢直播互动
带货|喜欢直播卖货
打赏|喜欢打赏主播
刷礼物|喜欢送火箭
刷屏|喜欢网络刷屏
网恋|喜欢线上恋爱
异地恋|喜欢远距离恋
跨国恋|喜欢异国恋
黄昏恋|喜欢老年恋爱
师生恋|喜欢禁忌之恋
姐弟恋|喜欢年下恋
兄妹恋|喜欢骨科恋
百合|喜欢女同爱情
耽美|喜欢男同爱情
军旅|喜欢军人恋情
医患|喜欢医护恋曲
电竞|喜欢游戏情缘
网恋|喜欢虚拟恋爱
青梅竹马|喜欢两小无猜
天降|喜欢天上掉下
竹马|喜欢青梅竹马
养成|喜欢养成游戏
年下|喜欢年下恋
年上|喜欢年上恋
大叔|喜欢成熟大叔
正太|喜欢可爱正太
小鲜肉|喜欢小鲜肉
小狼狗|喜欢小狼狗
小奶狗|喜欢小奶狗
大哥哥|喜欢大哥哥
大姐姐|喜欢大姐姐
小哥哥|喜欢小哥哥
小姐姐|喜欢小姐姐
欧巴|喜欢韩式欧巴
欧尼|喜欢韩式欧尼
小哥哥|喜欢小哥哥
小弟弟|喜欢小男孩
小可爱|喜欢可爱类型
小天使|喜欢天使般的
小仙女|喜欢仙女下凡
小精灵|喜欢精灵般
小鹿|喜欢小鹿乱撞
小鹿斑比|喜欢斑比般
小奶猫|喜欢奶猫萌系
小狼崽|喜欢狼崽凶猛
小奶狗|喜欢奶狗粘人
小狼狗|喜欢狼狗野性
小奶豹|喜欢猎豹幼崽
小脑斧|喜欢小脑斧
小兔几|喜欢小兔几
小脑斧|喜欢大西几
小凶许|喜欢小凶许
小海狮|喜欢小海狮
小脑斧|喜欢大西几
小兔几|喜欢小兔几
小居居|喜欢小居居
小脑斧|喜欢大西几
小凶许|喜欢小凶许
小海狮|喜欢小海狮
小歪歪|喜欢小歪歪
小牛牛|喜欢小牛牛
小马马|喜欢小马马
小羊羊|喜欢小羊羊
小猴猴|喜欢小猴猴
小鸡鸡|喜欢小基基
小鸭鸭|喜欢小鸭鸭
小鸽鸽|喜欢小鸽鸽
小小鸟|喜欢小小鸟
小乌乌|喜欢小乌乌
小龟龟|喜欢小龟龟
小蛇蛇|喜欢小蛇蛇
小龙龙|喜欢小龙人
小虫虫|喜欢小虫虫
小狗狗|喜欢小狗狗
小喵喵|喜欢小喵喵
小兔兔|喜欢小兔兔
小鼠鼠|喜欢小仓鼠
小貂貂|喜欢小貂貂
小狐狸|喜欢小狐狸
小狼狼|喜欢小狼狼
小鹿鹿|喜欢小鹿鹿
小斑马|喜欢小斑马
小驼驼|喜欢小驼驼
小羊驼|喜欢小羊驼
小朱朱|喜欢小朱朱
小狐狐|喜欢小狐狸
小狼狗|喜欢小狼狗
小奶狗|喜欢小奶狗
小狼崽|喜欢小狼崽
小奶猫|喜欢小奶猫
小脑斧|喜欢大西几
小兔几|喜欢小兔几
小居居|喜欢小居居
小凶许|喜欢小凶许
小海狮|喜欢小海狮
小歪歪|喜欢小歪歪
