# 敏感部位预设模板
# 格式：名称|描述

[上半身]
胸部|丰满的胸部是敏感部位
大腿根|大腿根部敏感
大腿内侧|大腿内侧敏感
大腿外侧|大腿外侧敏感
大腿后侧|大腿后侧敏感
膝盖窝|膝盖窝敏感
小腿|小腿内侧敏感
小腿肚|小腿肚敏感
脚踝|脚踝是敏感点
脚腕|脚腕敏感
脚背|脚背敏感
脚心|脚心是敏感部位
脚趾|脚趾是敏感点
脚指缝|脚趾之间敏感
脚底|脚底是敏感带
脚跟|脚跟敏感
脚掌|脚掌敏感
脚面|脚面敏感
脚弓|脚弓是敏感带
脚踝骨|脚踝骨敏感
小腿静脉|小腿静脉敏感
腿毛|腿毛区域敏感
膝盖骨|膝盖骨敏感
膝盖窝|膝盖后窝敏感
大腿根部|大腿根部敏感
胯部|胯部是敏感带
髋骨|髋骨是敏感区
耻骨|耻骨是敏感区
私处|下体是核心敏感
阴部|女性私处敏感
阴蒂|阴蒂是极度敏感点
阴唇|阴唇是敏感带
阴道|阴道内部敏感
阴道口|阴道口敏感
子宫|子宫是内部敏感
子宫颈|子宫颈敏感
G点|G点是敏感点
A点|A点是敏感带
U点|U点是敏感区
前列腺|前列腺是男性敏感
会阴|会阴是敏感区
肛门|肛门是敏感部位
肛门口|肛门口敏感
直肠|直肠内部敏感
前列腺|前列腺敏感
精囊|精囊是敏感区
睾丸|睾丸是敏感部位
阴茎|阴茎是核心敏感
龟头|龟头是极度敏感
包皮|包皮是敏感带
系带|系带是敏感点
阴茎根部|阴茎根部敏感
睾丸|睾丸敏感
附睾|附睾是敏感区
输精管|输精管敏感
精索|精索是敏感带
股沟|股沟是敏感带
大腿缝|大腿之间敏感
会阴|会阴是敏感区
腰窝|腰窝是性感带
臀部|整个臀部是敏感区
臀沟|臀沟是敏感带
臀缝|臀缝敏感
臀尖|臀尖敏感
臀部上方|臀部上方敏感
臀部下方|臀部下方敏感
臀部左侧|臀部左侧敏感
臀部右侧|臀部右侧敏感
屁股|整个屁股是敏感区
屁股蛋|屁股蛋敏感
屁股沟|屁股沟敏感
屁股缝|屁股缝敏感
尾骨|尾骨是敏感带
尾椎|尾椎敏感
肛周|肛门周围敏感
前列腺|前列腺敏感
精囊|精囊敏感
睾丸|睾丸敏感
附睾|附睾敏感
输精管|输精管敏感
精索|精索敏感
阴囊|阴囊是敏感部位
阴茎|阴茎敏感
龟头|龟头敏感
包皮|包皮敏感
系带|系带敏感
冠状沟|冠状沟敏感
阴茎|整根阴茎敏感
柱身|柱身敏感
根部|根部敏感
睾丸|两个睾丸敏感
单睾|单个睾丸敏感
附睾|附睾敏感
精索|精索敏感
输精管|输精管敏感
前列腺|前列腺敏感
会阴|会阴敏感
肛门|肛门敏感
肛门口|肛门口敏感
肛管|肛管敏感
直肠|直肠敏感
乙状结肠|乙状结肠敏感
盆底肌|盆底肌敏感
耻骨肌|耻骨肌敏感
髂腰肌|髂腰肌敏感
股直肌|股直肌敏感
缝匠肌|缝匠肌敏感
股二头肌|股二头肌敏感
半腱肌|半腱肌敏感
半膜肌|半膜肌敏感
大收肌|大收肌敏感
长收肌|长收肌敏感
短收肌|短收肌敏感
耻骨肌|耻骨肌敏感
闭孔内肌|闭孔内肌敏感
闭孔外肌|闭孔外肌敏感
梨状肌|梨状肌敏感
上孖肌|上孖肌敏感
下孖肌|下孖肌敏感
闭孔内肌|闭孔内肌敏感
骶结节韧带|骶结节韧带敏感
骶棘韧带|骶棘韧带敏感

[特殊]
脚部|玉足是敏感部位
手指|手指轻抚会很敏感
肚脐|肚脐周围很敏感
背部|背部是敏感区域
嘴唇|亲吻嘴唇是亲密行为
头发|头发被抚摸会有感觉
腋下|腋下是敏感区域
舌|舌头是敏感部位
舌根|舌根是敏感点
舌尖|舌尖是敏感点
舌面|舌面是敏感带
上颚|上颚是敏感区
牙龈|牙龈是敏感带
牙齿|牙齿是敏感点
人中|人中是敏感带
下巴|下巴是敏感区
眉心|眉心是敏感点
太阳穴|太阳穴是敏感区
眼角|眼角是敏感点
眼睑|眼睑是敏感带
眼球|眼球敏感
瞳孔|瞳孔是敏感点
耳垂|耳垂是敏感点
耳廓|耳廓是敏感区
耳后|耳后是敏感区
颈部|颈部是敏感带
喉结|喉结是敏感点
颈椎|颈椎是敏感区
肩膀|肩膀是敏感区
肩胛|肩胛骨是敏感带
腋窝|腋窝是敏感区
乳头|乳头是敏感点
乳晕|乳晕是敏感带
乳房|乳房是敏感区
胸口|胸口是敏感带
心口|心口是敏感区
肋骨|肋骨是敏感带
腹部|腹部是敏感区
肚脐|肚脐是敏感点
侧腰|侧腰是敏感带
后腰|后腰是敏感带
腰窝|腰窝是性感带
背部|背部是敏感区
脊背|脊背是敏感带
脊柱|脊柱是敏感带
肩胛骨|肩胛骨是敏感区
蝴蝶骨|蝴蝶骨是性感带
腰窝|腰窝是性感带
人鱼线|人鱼线是性感带
马甲线|马甲线是敏感带
腹肌|腹肌是敏感区
胸肌|胸肌是敏感区
臀部|臀部是敏感区
臀沟|臀沟是敏感带
大腿根|大腿根是敏感带
大腿内侧|大腿内侧敏感
膝盖窝|膝盖窝是敏感带
小腿肚|小腿肚是敏感区
脚踝|脚踝是敏感点
脚心|脚心是敏感带
脚底|脚底是敏感带
脚趾|脚趾是敏感点
脚指缝|脚趾之间敏感
手心|手心是敏感区
指尖|指尖是敏感点
指缝|指缝敏感
手腕|手腕是敏感区
手肘|手肘内侧敏感
腋毛|腋毛区域敏感
阴毛|阴毛区域敏感
腿毛|腿毛区域敏感
胡须|胡须是敏感区
眉毛|眉毛是敏感区
睫毛|睫毛是敏感点
发际线|发际线是敏感带
美人尖|美人尖是敏感点
喉结|喉结是敏感点
喉结|男性喉结敏感
颈部|颈部侧面敏感
颈动脉|颈动脉是敏感带
血管|血管是敏感区
皮肤|皮肤是敏感器官
疤痕|疤痕是敏感带
纹身|纹身是敏感区域
穿孔|穿孔是敏感点
耳洞|耳洞是敏感点
脐洞|脐洞是敏感点
鼻洞|鼻洞是敏感点
舌钉|舌钉敏感
唇钉|唇钉敏感
乳环|乳环敏感
脐环|脐环敏感
阴环|阴环敏感
乳钉|乳钉敏感
私处穿孔|私处穿孔敏感
