# 爱好预设模板
# 格式：名称|描述

[文艺]
阅读|喜欢看书，博览群书
原画|喜欢原画
CG|喜欢CG
3D建模|喜欢3D建模
游戏设计|喜欢游戏设计
UI设计|喜欢UI设计
平面设计|喜欢平面设计
工业设计|喜欢工业设计
建筑设计|喜欢建筑设计
室内设计|喜欢室内设计
景观设计|喜欢景观设计
服装设计|喜欢服装设计
珠宝设计|喜欢珠宝设计
美容设计|喜欢美容设计
美发设计|喜欢美发设计
美甲|喜欢美甲
化妆|喜欢化妆
造型|喜欢造型
模特|喜欢模特
走秀|喜欢走秀
时装|喜欢时装
古装|喜欢古装
汉服|喜欢汉服
Lolita|喜欢洛丽塔
 JK |喜欢jk制服
 Cosplay |喜欢cosplay
道具|喜欢制作道具
 cosplay |喜欢角色扮演

[运动]
跑步|喜欢晨跑或夜跑
游泳|喜欢游泳，水中运动
瑜伽|喜欢瑜伽，柔韧身心
健身|喜欢健身，塑造身材
骑行|喜欢骑自行车
登山|喜欢爬山，亲近自然
滑雪|喜欢冰雪运动
篮球|喜欢篮球
足球|喜欢足球
排球|喜欢排球
网球|喜欢网球
羽毛球|喜欢羽毛球
乒乓球|喜欢乒乓球
高尔夫|喜欢高尔夫
保龄球|喜欢保龄球
台球|喜欢台球
斯诺克|喜欢斯诺克
壁球|喜欢壁球
板球|喜欢板球
棒球|喜欢棒球
垒球|喜欢垒球
曲棍球|喜欢曲棍球
冰球|喜欢冰球
橄榄球|喜欢橄榄球
rugby |喜欢橄榄球
拳击|喜欢拳击
散打|喜欢散打
跆拳道|喜欢跆拳道
空手道|喜欢空手道
柔术|喜欢柔术
摔跤|喜欢摔跤
 Wrestling |喜欢摔跤
 MMA |喜欢综合格斗
 UFC |喜欢UFC
泰拳|喜欢泰拳
咏春|喜欢咏春
太极|喜欢太极拳
八卦掌|喜欢八卦掌
形意拳|喜欢形意拳
八极拳|喜欢八极拳
洪拳|喜欢洪拳
蔡李佛|喜欢蔡李佛
武术|喜欢武术
套路|喜欢套路
器械|喜欢器械
剑术|喜欢剑术
刀术|喜欢刀术
枪术|喜欢枪术
棍术|喜欢棍术
鞭术|喜欢鞭术
拳术|喜欢拳术
掌法|喜欢掌法
指法|喜欢指法
腿法|喜欢腿法
肘法|喜欢肘法
膝法|喜欢膝法
摔法|喜欢摔法
拿法|喜欢拿法
打法|喜欢打法
点穴|喜欢点穴
推拿|喜欢推拿
按摩|喜欢按摩
针灸|喜欢针灸
拔罐|喜欢拔罐
刮痧|喜欢刮痧
气功|喜欢气功
导引|喜欢导引
站桩|喜欢站桩
打坐|喜欢打坐
冥想|喜欢冥想
禅修|喜欢禅修
灵修|喜欢灵修
辟谷|喜欢辟谷
养生|喜欢养生
长寿|喜欢长寿
保健|喜欢保健
康复|喜欢康复
理疗|喜欢理疗
水疗|喜欢水疗
 spa |喜欢水疗
汗蒸|喜欢汗蒸
桑拿|喜欢桑拿
温泉|喜欢温泉
游泳|喜欢游泳
潜水|喜欢潜水
浮潜|喜欢浮潜
冲浪|喜欢冲浪
帆船|喜欢帆船
帆板|喜欢帆板
滑水|喜欢滑水
滑冰|喜欢滑冰
冰壶|喜欢冰壶
冰舞|喜欢冰舞
雪橇|喜欢雪橇
滑雪|喜欢滑雪
滑翔伞|喜欢滑翔伞
跳伞|喜欢跳伞
蹦极|喜欢蹦极
攀岩|喜欢攀岩
攀冰|喜欢攀冰
登山|喜欢登山
徒步|喜欢徒步
穿越|喜欢穿越
探险|喜欢探险
野外|喜欢野外生存
露营|喜欢露营
野炊|喜欢野炊
钓鱼|喜欢钓鱼
捕鱼|喜欢捕鱼
狩猎|喜欢狩猎
采集|喜欢采集
采摘|喜欢采摘
农耕|喜欢农耕
种植|喜欢种植
养殖|喜欢养殖
畜牧|喜欢畜牧
兽医|喜欢兽医
登山|喜欢登山
冲顶|喜欢冲顶
登顶|喜欢登顶
攀爬|喜欢攀爬
跑酷|喜欢跑酷
滑板|喜欢滑板
轮滑|喜欢轮滑
直排轮|喜欢直排轮
自行车|喜欢自行车
山地车|喜欢山地车
公路车|喜欢公路车
死飞|喜欢死飞
 BMX |喜欢BMX
小轮车|喜欢小轮车
特技|喜欢特技
街舞|喜欢街舞
Breaking |喜欢Breaking
Popping |喜欢Popping
Locking |喜欢Locking
Hiphop |喜欢Hiphop
Jazz |喜欢Jazz
现代舞|喜欢现代舞
芭蕾|喜欢芭蕾
民族舞|喜欢民族舞
古典舞|喜欢古典舞
当代舞|喜欢当代舞
踢踏舞|喜欢踢踏舞
莎莎舞|喜欢莎莎舞
桑巴|喜欢桑巴
伦巴|喜欢伦巴
恰恰|喜欢恰恰
牛仔|喜欢牛仔
斗牛|喜欢斗牛
快步|喜欢快步
狐步|喜欢狐步
 华尔兹 |喜欢华尔兹
维也纳|喜欢维也纳
探戈|喜欢探戈
 街舞 |喜欢街舞

[娱乐]
游戏|喜欢电子游戏
追剧|喜欢看电视剧
电影|喜欢看电影
动漫|喜欢看动画
直播|喜欢看直播
综艺|喜欢看综艺
小说|喜欢看网络小说
漫画|喜欢看漫画
主机游戏|喜欢主机游戏
 PC游戏|喜欢电脑游戏
手游|喜欢手机游戏
端游|喜欢网络游戏
 VR游戏|喜欢VR游戏
 AR游戏|喜欢AR游戏
 游戏开发|喜欢游戏开发
 游戏策划|喜欢游戏策划
 游戏美术|喜欢游戏美术
 游戏音乐|喜欢游戏音乐
 游戏配音|喜欢游戏配音
 游戏运营|喜欢游戏运营
 游戏赛事|喜欢游戏赛事
电竞|喜欢电子竞技
英雄联盟|喜欢英雄联盟
王者荣耀|喜欢王者荣耀
和平精英|喜欢和平精英
绝地求生|喜欢绝地求生
守望先锋|喜欢守望先锋
魔兽世界|喜欢魔兽世界
星际争霸|喜欢星际争霸
魔兽争霸|喜欢魔兽争霸
 Dota |喜欢Dota
 Dota2 |喜欢Dota2
 CSGO |喜欢CSGO
Valorant |喜欢Valorant
APEX|喜欢APEX
使命召唤|喜欢使命召唤
战地|喜欢战地
彩虹六号|喜欢彩虹六号
怪物猎人|喜欢怪物猎人
塞尔达|喜欢塞尔达
马里奥|喜欢马里奥
口袋妖怪|喜欢口袋妖怪
星之卡比|喜欢星之卡比
火焰纹章|喜欢火焰纹章
最终幻想|喜欢最终幻想
生化危机|喜欢生化危机
鬼泣|喜欢鬼泣
怪物弹珠|喜欢怪物弹珠
 FGO |喜欢FGO
明日方舟|喜欢明日方舟
原神|喜欢原神
崩坏3|喜欢崩坏3
碧蓝航线|喜欢碧蓝航线
舰娘|喜欢舰娘
战舰少女|喜欢战舰少女
少女前线|喜欢少女前线
阴阳师|喜欢阴阳师
王者荣耀|喜欢王者荣耀
决战平安京|喜欢决战平安京
荒野行动|喜欢荒野行动
刺激战场|喜欢刺激战场
全军出击|喜欢全军出击
 QQ飞车 |喜欢QQ飞车
跑跑卡丁车|喜欢跑跑卡丁车
极品飞车|喜欢极品飞车
 GTA |喜欢GTA
荒野大镖客|喜欢荒野大镖客
赛博朋克|喜欢赛博朋克
巫师3|喜欢巫师3
老头环|喜欢老头环
艾尔登法环|喜欢艾尔登法环
黑魂|喜欢黑魂
血缘|喜欢血缘
只狼|喜欢只狼
仁王|喜欢仁王
卧龙|喜欢卧龙
战锤|喜欢战锤
全面战争|喜欢全面战争
文明|喜欢文明
 P社游戏|喜欢P社游戏
钢铁雄心|喜欢钢铁雄心
维多利亚|喜欢维多利亚
欧陆风云|喜欢欧陆风云
十字军之王|喜欢十字军之王
群星|喜欢群星
stellaris |喜欢stellaris
 Paradox |喜欢Paradox
RPG|喜欢RPG
JRPG|喜欢JRPG
ARPG|喜欢ARPG
SRPG|喜欢SRPG
SLG|喜欢SLG
RTS|喜欢RTS
MOBA|喜欢MOBA
FPS|喜欢FPS
TPS|喜欢TPS
STG|喜欢STG
PUZ|喜欢PUZ
 AVG |喜欢AVG
GALGAME|喜欢GALGAME
视觉小说|喜欢视觉小说
文字冒险|喜欢文字冒险
恐怖游戏|喜欢恐怖游戏
生存游戏|喜欢生存游戏
沙盒游戏|喜欢沙盒游戏
开放世界|喜欢开放世界
魂类游戏|喜欢魂类游戏
Roguelike|喜欢Roguelike
 Roguelite |喜欢Roguelite
卡牌游戏|喜欢卡牌游戏
CCG|喜欢CCG
TCG|喜欢TCG
桌游|喜欢桌游
 boardgame |喜欢boardgame
三国杀|喜欢三国杀
狼人杀|喜欢狼人杀
剧本杀|喜欢剧本杀
密室逃脱|喜欢密室逃脱
 桌游设计 |喜欢桌游设计
 桌游出版 |喜欢桌游出版
 跑团 |喜欢跑团
TRPG|喜欢TRPG
COC|喜欢COC
龙与地下城|喜欢龙与地下域
pathfinder |喜欢pathfinder
 动漫 |喜欢动漫
日漫|喜欢日漫
国漫|喜欢国漫
美漫|喜欢美漫
韩漫|喜欢韩漫
 动漫周边 |喜欢动漫周边
 动漫展 |喜欢动漫展
CJ|喜欢ChinaJoy
BW|喜欢B站world
漫展|喜欢漫展
同人展|喜欢同人展
CP|喜欢ComicUP
 动漫同人 |喜欢动漫同人
 同人创作 |喜欢同人创作
 同人小说 |喜欢同人小说
 同人绘画 |喜欢同人绘画
 同人视频 |喜欢同人视频
 同人歌曲 |喜欢同人歌曲
 同人广播剧 |喜欢同人广播剧
 Cosplay |喜欢cosplay
道具制作|喜欢道具制作
化妆造型|喜欢化妆造型
假发制作|喜欢假发制作
 cosplay摄影 |喜欢cosplay摄影
 cosplay后期 |喜欢cosplay后期
 漫展摄影 |喜欢漫展摄影
 漫展直播 |喜欢漫展直播
 漫展主持 |喜欢漫展主持
 漫展策划 |喜欢漫展策划
 漫展执行 |喜欢漫展执行
 漫展运营 |喜欢漫展运营
 漫展招商 |喜欢漫展招商
 漫展安保 |喜欢漫展安保
 漫展票务 |喜欢漫展票务
 漫展餐饮 |喜欢漫展餐饮
 漫展住宿 |喜欢漫展住宿
 漫展交通 |喜欢漫展交通
 漫展旅游 |喜欢漫展旅游
 漫展购物 |喜欢漫展购物
 漫展娱乐 |喜欢漫展娱乐
 漫展教育 |喜欢漫展教育
 漫展文化 |喜欢漫展文化
 漫展艺术 |喜欢漫展艺术
 漫展科技 |喜欢漫展科技
 漫展商业 |喜欢漫展商业
 漫展公益 |喜欢漫展公益
 漫展体育 |喜欢漫展体育
 漫展音乐 |喜欢漫展音乐
 漫展舞蹈 |喜欢漫展舞蹈
 漫展戏剧 |喜欢漫展戏剧
 漫展电影 |喜欢漫展电影
 漫展电视 |喜欢漫展电视
 漫展网络 |喜欢漫展网络
 漫展新媒体 |喜欢漫展新媒体
 漫展传统媒体 |喜欢漫展传统媒体
 漫展自媒体 |喜欢漫展自媒体
 漫展新媒体运营 |喜欢漫展新媒体运营
 漫展社群运营 |喜欢漫展社群运营
 漫展用户运营 |喜欢漫展用户运营
 漫展活动运营 |喜欢漫展活动运营
 漫展内容运营 |喜欢漫展内容运营
 漫展数据运营 |喜欢漫展数据运营
 漫展商业化运营 |喜欢漫展商业化运营
 漫展用户增长 |喜欢漫展用户增长
 漫展用户留存 |喜欢漫展用户留存
 漫展用户活跃 |喜欢漫展用户活跃
 漫展用户转化 |喜欢漫展用户转化
 漫展用户变现 |喜欢漫展用户变现
 漫展品牌建设 |喜欢漫展品牌建设
 漫展市场营销 |喜欢漫展市场营销
 漫展推广渠道 |喜欢漫展推广渠道
 漫展广告投放 |喜欢漫展广告投放
 漫展SEO |喜欢漫展SEO
 漫展SEM |喜欢漫展SEM
 漫展ASO |喜欢漫展ASO
 漫展社媒营销 |喜欢漫展社媒营销
 漫展内容营销 |喜欢漫展内容营销
 漫展口碑营销 |喜欢漫展口碑营销
 漫展事件营销 |喜欢漫展事件营销
 漫展跨界营销 |喜欢漫展跨界营销
 漫展IP营销 |喜欢漫展IP营销
 漫展粉丝经济 |喜欢漫展粉丝经济
 漫展会员经济 |喜欢漫展会员经济
 漫展付费经济 |喜欢漫展付费经济
 漫展广告经济 |喜欢漫展广告经济
 漫展电商经济 |喜欢漫展电商经济
 漫展直播经济 |喜欢漫展直播经济
 漫展短视频经济 |喜欢漫展短视频经济
 漫展知识经济 |喜欢漫展知识经济
 漫展内容付费 |喜欢漫展内容付费
 漫展打赏 |喜欢漫展打赏
 漫展众筹 |喜欢漫展众筹
 漫展捐赠 |喜欢漫展捐赠
 漫展赞助 |喜欢漫展赞助
 漫展投资 |喜欢漫展投资
 漫展融资 |喜欢漫展融资
 漫展并购 |喜欢漫展并购
 漫展上市 |喜欢漫展上市
 漫展股权激励 |喜欢漫展股权激励
 漫展公司治理 |喜欢漫展公司治理
 漫展团队管理 |喜欢漫展团队管理
 漫展项目管理 |喜欢漫展项目管理
 漫展产品管理 |喜欢漫展产品管理
 漫展技术管理 |喜欢漫展技术管理
 漫展设计管理 |喜欢漫展设计管理
 漫展运营管理 |喜欢漫展运营管理
 漫展市场管理 |喜欢漫展市场管理
 漫展销售管理 |喜欢漫展销售管理
 漫展客服管理 |喜欢漫展客服管理
 漫展供应链管理 |喜欢漫展供应链管理
 漫展人力资源管理 |喜欢漫展人力资源管理
 漫展财务管理 |喜欢漫展财务管理
 漫展法务管理 |喜欢漫展法务管理
 漫展行政 |喜欢漫展行政
 漫展后勤 |喜欢漫展后勤
 漫展采购 |喜欢漫展采购
 漫展物流 |喜欢漫展物流
 漫展仓储 |喜欢漫展仓储
 漫展配送 |喜欢漫展配送
 漫展质量 |喜欢漫展质量
 漫展安全 |喜欢漫展安全
 漫展环保 |喜欢漫展环保
 漫展消防 |喜欢漫展消防
 漫展卫生 |喜欢漫展卫生
 漫展检疫 |喜欢漫展检疫
 漫展海关 |喜欢漫展海关
 漫展税务 |喜欢漫展税务
 漫展审计 |喜欢漫展审计
 漫展评估 |喜欢漫展评估
 漫展咨询 |喜欢漫展咨询
 漫展培训 |喜欢漫展培训
 漫展教育 |喜欢漫展教育
 漫展研发 |喜欢漫展研发
 漫展创新 |喜欢漫展创新
 漫展发明 |喜欢漫展发明
 漫展专利 |喜欢漫展专利
 漫展标准 |喜欢漫展标准
 漫展认证 |喜欢漫展认证
 漫展检测 |喜欢漫展检测
 漫展实验 |喜欢漫展实验
 漫展观察 |喜欢漫展观察
 漫展调研 |喜欢漫展调研
 漫展分析 |喜欢漫展分析
 漫展总结 |喜欢漫展总结
 漫展报告 |喜欢漫展报告
 漫展论文 |喜欢漫展论文
 漫展专著 |喜欢漫展专著
 漫展教材 |喜欢漫展教材
 漫展科普 |喜欢漫展科普
 漫展科幻|喜欢科幻
奇幻|喜欢奇幻
玄幻|喜欢玄幻
仙侠|喜欢仙侠
武侠|喜欢武侠
都市|喜欢都市
校园|喜欢校园
职场|喜欢职场
商战|喜欢商战
军事|喜欢军事
历史|喜欢历史
穿越|喜欢穿越
重生|喜欢重生
系统|喜欢系统
无限|喜欢无限
末日|喜欢末日
废土|喜欢废土
赛博朋克|喜欢赛博朋克
蒸汽朋克|喜欢蒸汽朋克
克苏鲁|喜欢克苏鲁
SCP|喜欢SCP
基金会|喜欢基金会
DND|喜欢DND
跑团|喜欢跑团
桌游|喜欢桌游
剧本|喜欢剧本
小说|喜欢写小说
剧本杀|喜欢剧本杀
狼人杀|喜欢狼人杀
三国杀|喜欢三国杀
UNO|喜欢UNO
德州扑克|喜欢德州扑克
桥牌|喜欢桥牌
麻将|喜欢麻将
纸牌|喜欢纸牌游戏
卡坦岛|喜欢卡坦岛
卡卡颂|喜欢卡卡颂
富饶之城|喜欢富饶之城
历史巨轮|喜欢历史巨轮
七大奇迹|喜欢七大奇迹
璀璨宝石|喜欢璀璨宝石
行动代号|喜欢行动代号
 三国杀 |喜欢三国杀
狼人杀|喜欢狼人杀
剧本杀|喜欢剧本杀
密室逃脱|喜欢密室逃脱
真人CS|喜欢真人CS
射击|喜欢射击
射箭|喜欢射箭
马术|喜欢马术
高尔夫|喜欢高尔夫
网球|喜欢网球
保龄球|喜欢保龄球
台球|喜欢台球
斯诺克|喜欢斯诺克
壁球|喜欢壁球
板球|喜欢板球
棒球|喜欢棒球
垒球|喜欢垒球
曲棍球|喜欢曲棍球
冰球|喜欢冰球
橄榄球|喜欢橄榄球
马球|喜欢马球
毽球|喜欢毽球
藤球|喜欢藤球
蹴鞠|喜欢蹴鞠
木球|喜欢木球
高尔夫球|喜欢高尔夫球
沙狐球|喜欢沙狐球
门球|喜欢门球
槌球|喜欢槌球
台球|喜欢台球
桌球|喜欢桌球
弹珠台|喜欢弹珠台
气垫球|喜欢气垫球
水球|喜欢水球
马球|喜欢马球
 polo |喜欢polo
马术|喜欢马术
赛马|喜欢赛马
赌马|喜欢赌马
博彩|喜欢博彩
彩票|喜欢彩票
竞猜|喜欢竞猜
投注|喜欢投注
赌博|喜欢赌博
扑克|喜欢扑克
纸牌|喜欢纸牌
游戏王|喜欢游戏王
游戏王OCG|喜欢游戏王OCG
游戏王TCG|喜欢游戏王TCG
万智牌|喜欢万智牌
 MTG |喜欢MTG
宝可梦集换式|喜欢宝可梦集换式
 PokemonTCG |喜欢PokemonTCG
解散式卡片游戏|喜欢解散式卡片游戏
卡牌收集|喜欢卡牌收集
集换式卡牌|喜欢集换式卡牌
收藏卡|喜欢收藏卡
稀有卡|喜欢稀有卡
限量卡|喜欢限量卡
签名卡|喜欢签名卡
实物卡|喜欢实物卡
数字卡|喜欢数字卡
虚拟卡|喜欢虚拟卡
闪卡|喜欢闪卡
普卡|喜欢普卡
金卡|喜欢金卡
银卡|喜欢银卡
铜卡|喜欢铜卡
铁卡|喜欢铁卡
卡砖|喜欢卡砖
卡盒|喜欢卡盒
卡包|喜欢卡包
卡箱|喜欢卡箱
卡套|喜欢卡套
卡膜|喜欢卡膜
卡册|喜欢卡册
卡砖|喜欢卡砖
卡砖|喜欢卡砖
