# 角色预设模板
# 格式：名称|描述

[职业]
学生|在校学生，青春活泼
消防员|日常巡逻，安全防范
消防员|消防演练，实战准备
消防员|事故救援，专业处置
消防员|危化品事故处置|

[奇幻]
精灵|神秘的森林种族，优雅长寿
天使|神圣的天界生物，纯洁美丽
恶魔|来自深渊的种族，性感危险
吸血鬼|永生的夜行种族，高贵冷艳
人鱼|海洋种族，神秘诱惑
兽耳娘|兽耳特征的人类，萌系可爱
魔女|掌握魔法的女性，神秘强大
女战士|战斗型女性，英勇无畏
巫女|神社巫女，神圣纯洁
忍者|隐蔽行动者，神秘敏捷
修士|宗教修行者，禁欲纯洁
炼金术士|炼金研究者，知识渊博
光明精灵|光之精灵，纯洁善良
暗精灵|暗夜精灵，神秘深邃
月精灵|月光精灵，优雅静谧
星精灵|星辰精灵，璀璨夺目
森林精灵|林地精灵，自然之子
草原精灵|草原种族，自由奔放
山地精灵|山地种族，坚韧不拔
沙漠精灵|沙漠种族，耐旱适应
极地精灵|冰原种族，冰清玉洁
深海精灵|海底精灵，蓝色魅力
天空精灵|云端种族，轻盈飘逸
风精灵|风之精灵，自由无形
水精灵|水之精灵，柔韧多变
火精灵|火之精灵，热情激烈
土精灵|土之精灵，稳重厚道
雷精灵|雷之精灵，震撼力量
冰精灵|冰之精灵，寒冷美丽
光精灵|光之精灵，温暖明亮
暗精灵|暗之精灵，神秘深邃
时间精灵|时之精灵，掌控时光
空间精灵|空之精灵，穿梭空间
梦精灵|梦境精灵，虚幻飘渺
幻象精灵|幻灵，迷惑众生
影精灵|影子精灵，暗中行动
雾精灵|雾气精灵，朦胧神秘
霜精灵|寒霜精灵，冰冷美丽
雪精灵|冰雪精灵，纯白无瑕
雨精灵|雨水精灵，滋润大地
精灵使|精灵契约者，魔法伙伴
精灵法师|精灵魔法使，元素操控
精灵射手|精灵弓箭手，远程攻击
精灵战士|精灵武士，近战高手
精灵骑士|精灵骑，忠诚守卫
精灵王|精灵王者，种族领袖
精灵女王|精灵女王，母仪天下
精灵公主|精灵公主，高贵优雅
精灵王子|精灵王子，俊美不凡
精灵长老|精灵族智者，德高望重
精灵贤者|精灵智者，知识渊博
精灵吟游者|精灵诗人，传颂史诗
精灵游侠|精灵斥候，巡逻边境
精灵刺客|精灵暗杀者，暗中杀手
精灵盗贼|精灵窃贼，灵活机敏
精灵铁匠|精灵锻造，工艺精湛
精灵炼金|精灵炼金，奇妙实验
精灵附魔|精灵附魔，魔法加持
精灵德鲁伊|自然法师，与自然合
天使长|九翼天使，神圣领袖
炽天使|六翼天使，光明化身
智天使|八翼天使，智慧源泉
力天使|六翼天使，力量象征
权天使|四翼天使，权力代表
能天使|六翼天使，能力非凡
主天使|四翼天使，统领天使
座天使|六翼天使，守卫宝座
普天使|二翼天使，普通天使
大天使|双翼天使，天界使者
小天使|低级天使，天真无邪
堕天使|堕落天使，背叛光明
路西法|堕天使首领，黑暗帝王
撒旦|地狱之王，邪恶代表
加百列|炽天使长，传达神意
米迦勒|炽天使长，战斗天使
拉斐尔|智天使长，治愈天使
乌列尔|炽天使长，火焰天使
恶魔|深渊种族，黑暗势力
魅魔|诱惑恶魔，魅惑众生
梦魔|梦境恶魔，夜之使者
欲魔|欲望恶魔，激发本能
惰魔|懒惰恶魔，消极堕落
怒魔|愤怒恶魔，狂暴易怒
贪婪恶魔|财富诱惑，欲望无度
嫉妒恶魔|羡慕之火，破坏之美
骄傲恶魔|傲慢自大，藐视一切
吸血鬼亲王|血族领袖，权力巅峰
吸血鬼公爵|血族贵族，优雅古老
吸血鬼侯爵|血族高层，势力强大
吸血鬼伯爵|血族中层，地位尊贵
吸血鬼子爵|血族贵族，年轻气盛
吸血鬼男爵|血族底层，逐步晋升
血族长老|古老吸血鬼，千年积淀
血族新娘|吸血鬼新娘，永恒之爱
吸血鬼猎人|猎魔战士，对抗黑暗
人鱼公主|海洋公主，蓝色魅力
人鱼女王|海族统治者，统领海域
塞壬|海妖歌声，迷惑航船
娜迦|蛇发海妖，美丽危险
人鱼|鱼类化身，海洋生物
人鱼|鲛人泪珠，价值连城
人鱼|鱼尾人身，优美姿态
半鱼人|半人半鱼，水陆两栖
鲛人|美容圣地，鲛绡无价
龙女|龙族血脉，呼风唤雨
龙娘|龙族女性，强大威严
龙姬|龙宫公主，高贵冷艳
龙女|东海龙女，美丽动人
龙姬|龙族姬妾，身份尊贵
龙女|神龙化身，法力无边
应龙|有翼神龙，腾云驾雾
青龙|东方神兽，四灵之首
白虎|西方神兽，战神化身
朱雀|南方神兽，火焰精灵
玄武|北方神兽，龟蛇合体
麒麟|瑞兽麒麟，吉祥如意
凤凰|神鸟凤凰，浴火重生
白泽|瑞兽白泽，通万物之情
九尾狐|千年狐妖，魅惑众生
九尾妖狐|狐狸精魄，迷惑之术
天狐|九尾天狐，仙家气质
灵狐|修炼狐仙，灵气逼人
妖狐|狐妖修炼，媚术高超
狐妖|狐狸成精，魅惑众生
狐仙|狐仙修炼，仙风道骨
狐姬|狐族少女，青春貌美
狸猫|狸猫精怪，化形为人
猫又|猫又妖怪，双尾灵猫
猫娘|猫耳少女，萌系可爱
猫耳娘|猫耳女孩，傲娇可爱
猫耳少女|猫耳少女，活泼可爱
兔耳娘|兔耳女孩，活泼可爱
兔娘|兔耳少女，温柔可人
兔耳少女|兔耳女孩，纯洁无邪
犬耳娘|犬耳少女，忠诚可爱
犬娘|犬耳少女，忠犬属性
狐耳娘|狐狸耳朵，魅惑可爱
狼耳娘|狼耳少女，野性魅力
狼娘|狼族女性，野性难驯
龙角娘|龙角少女，龙族血脉
独角娘|独角 unicorn，纯洁高贵
独角兽|独角神兽，梦幻存在
人马娘|上半身人，下半马身
半人马|上半身人，野性魅力
牛头人|牛头人身，力大无穷
牛头娘|牛头少女，憨厚可爱
羊头人|羊头人身，温顺可爱
羊娘|绵羊少女，温柔可人
猪头人|猪头人身，憨态可掬
猪娘|猪猪女孩，肥胖可爱
蛇人|蛇尾人身，神秘诱惑
蛇女|娜迦蛇女，美杜莎
美杜莎|石化之眼，危险美丽
娜迦|蛇发女妖，恐怖魅力
蜥蜴人|爬行动物，鳞片肌肤
蜥蜴娘|蜥蜴少女，冷血可爱
龙人|龙族特征，鳞片肌肤
龙血族|龙血洗礼，力量传承
龙裔|龙之后裔，血脉觉醒
史莱姆|软体魔物，Q弹可爱
软体生物|史莱姆类，萌系代表
胶质怪|凝胶生物，透明可爱
水母|海洋生物，漂浮美丽
水母娘|水母少女，透明飘逸
触手怪|触手生物，缠绕-play
触手娘|触手少女，软体魅力
章鱼娘|章鱼少女，多臂可爱
章鱼|八爪生物，智慧触手
鱿鱼娘|鱿鱼少女，快速敏捷
乌贼娘|墨鱼少女，喷墨防御
蟹娘|螃蟹少女，坚硬外壳
蟹人|蟹类化身，横行霸道
虾娘|虾类少女，弓背可爱
虾人|虾类化身，弓腰驼背
贝娘|贝类少女，贝壳保护
螺娘|螺类少女，螺旋外壳
海绵|多孔生物吸水膨胀
海绵娘|海绵少女，多孔吸力
珊瑚娘|珊瑚少女，海底花园
海葵娘|海葵少女，触手飘动
海胆娘|海胆少女，满身尖刺
海星娘|海星少女，五角对称
海参娘|海参少女，营养丰富
海肠|海洋生物，形状奇特
海肠娘|海肠少女，粉红可爱
蛙人|青蛙化身，水陆两栖
蛙娘|青蛙少女，跳跃高手
蟾蜍|蟾蜍精怪，财运亨通
蟾蜍娘|蟾蜍少女，富贵吉祥
两栖人|两栖生物，水陆生存
鱼人|鱼类化身，水中畅游
鱼娘|美人鱼，蓝色魅力
鲛人|泪珠成珠，价值连城
人鱼|海洋种族，梦幻存在
塞壬|海妖之歌，迷惑航船
娜迦|娜迦族裔，蛇发美丽
拉弥亚|拉弥亚族，蛇身诱惑
羽衣|天女下凡，霓裳羽衣
天女|天界仙女，飘渺出尘
仙女|瑶池仙子，美丽动人
神女|神界女子，高贵神秘
仙女儿|小仙女，活泼可爱
花仙|花精灵，花之仙子
花妖|花成精怪，芬芳魅惑
花精|百花精灵，香气袭人
花灵|花朵之灵，美丽绽放
树精|树成精怪，年轮记忆
树妖|千年古树，灵性觉醒
树灵|自然之灵，守护森林
木精|草木精灵，生命之力
草精|草原精灵，绿意盎然
草妖|草本成精，随风摇摆
藤精|藤蔓成精，缠绕生长
藤妖|藤蔓妖怪，柔韧难断
竹精|竹子成精，空心有节
竹妖|竹子妖怪，中空坚韧
兰精|兰花成精，幽香袭人
兰妖|兰花妖怪，芬芳馥郁
菊精|菊花成精，寒秋绽放
菊妖|菊花妖怪，艳丽多姿
梅精|梅花成精，雪中独艳
梅妖|梅花妖怪，傲雪凌霜
桃精|桃子成精，甜蜜诱惑
桃妖|桃树妖怪，桃花浪漫
杏精|杏花成精，春日绽放
杏妖|杏花妖怪，粉嫩可爱
梨精|梨花成精，纯洁如雪
梨妖|梨树妖怪，梨花带雨
樱精|樱花成精，粉色浪漫
樱妖|樱树妖怪，短暂绚烂
柳精|柳枝成精，随风摇曳
柳妖|柳树妖怪，柔弱多姿
杨精|杨树成精，高大挺拔
杨妖|杨树妖怪，飘絮如雪
枫精|枫叶成精，秋日红叶
枫妖|枫树妖怪，热情似火
松精|松树成精，常青不老
松妖|松树妖怪，针叶如针
柏精|柏树成精，庄严肃穆
柏妖|柏树妖怪，寿命长久
杉精|杉树成精，直插云霄
杉妖|杉树妖怪，高耸入云
桦精|白桦成林，洁白无瑕
桦妖|白桦妖怪，皮白如纸
榕精|榕树成荫，独木成林
榕妖|榕树妖怪，根须垂地
楠精|楠木成材，贵重木材
楠妖|楠树妖怪，珍贵难得
桂精|桂花成金，香飘十里
桂妖|桂树妖怪，中秋飘香
槐精|槐树成精，遮天蔽日
槐妖|槐树妖怪，荫凉遮日
橡精|橡树成林，果实累累
橡妖|橡树妖怪，坚韧不拔
榆精|榆树成材，纹理清晰
榆妖|榆树妖怪，枝叶繁茂
榉精|榉木成材，坚硬耐用
榉妖|榉树妖怪，吉祥寓意
樟精|樟树成材，香气驱虫
樟妖|樟树妖怪，芳香四溢

[幻想]
龙娘|龙族血脉的女性，强大威严
史莱姆|软体魔物，柔软可爱
触手怪|触手生物，束缚-play
半人马|上半身女性的种族，野性魅力
蛇人|蛇尾人身的种族，神秘诱惑
狐妖|狐狸精魄，魅惑众生
猫娘|猫耳少女，傲娇可爱
兔娘|兔耳女孩，活泼可爱
龙女|龙族公主，呼风唤雨
龙姬|龙宫姬妾，高贵冷艳
龙人|龙族后裔，血脉觉醒
人鱼|海洋公主，蓝色魅力
塞壬|海妖歌声，迷惑众生
娜迦|蛇发海妖，石化之眼
美人鱼|童话人鱼，浪漫纯真
鲛人|泪珠成珠，价值连城
半鱼人|半人半鱼，水陆两栖
半人马|上半身女性，野性魅力
人马娘|人马少女，奔跑如风
半牛头|牛头人身，力大无穷
牛头人|牛头战士，力量型
半羊人|羊头人身，温顺可爱
羊头人|羊族战士，温和友善
半猪人|猪头人身，憨态可掬
猪头人|猪族战士，福气满满
蜥蜴人|鳞片肌肤，冷血魅力
蜥蜴娘|蜥蜴少女，冰冷可爱
蛇女|娜迦蛇女，恐怖美丽
美杜莎|石化之眼，危险致命
羽衣|天女下凡，霓裳羽衣
天女|天界仙女，飘渺出尘
仙女|瑶池仙子，美丽动人
神女|神界女子，高贵神秘
花仙|花精灵，花之仙子
花妖|花成精怪，芬芳魅惑
花精|百花精灵，香气袭人
树精|树成精怪，年轮记忆
树妖|千年古树，灵性觉醒
树灵|自然之灵，守护森林
草精|草原精灵，绿意盎然
草妖|草本成精，随风摇摆
藤精|藤蔓成精，缠绕生长
藤妖|藤蔓妖怪，柔韧难断
竹精|竹子成精，空心有节
竹妖|竹子妖怪，中空坚韧
兰精|兰花成精，幽香袭人
兰妖|兰花妖怪，芬芳馥郁
菊精|菊花成精，寒秋绽放
菊妖|菊花妖怪，艳丽多姿
梅精|梅花成精，雪中独艳
梅妖|梅花妖怪，傲雪凌霜
桃精|桃子成精，甜蜜诱惑
桃妖|桃树妖怪，桃花浪漫
樱精|樱花成精，粉色浪漫
樱妖|樱树妖怪，短暂绚烂
柳精|柳枝成精，随风摇曳
柳妖|柳树妖怪，柔弱多姿
枫精|枫叶成精，秋日红叶
枫妖|枫树妖怪，热情似火
松精|松树成精，常青不老
松妖|松树妖怪，针叶如针
杉精|杉树成精，直插云霄
杉妖|杉树妖怪，高耸入云
橡胶|橡胶成精，弹性十足
果冻|果冻成精，Q弹可爱
凝胶|凝胶生命，透明纯净
黏液|黏液生物，滑腻多变
史莱姆娘|史莱姆少女，软体萌系
水母娘|水母少女，透明飘逸
海绵娘|海绵少女，多孔吸力
珊瑚娘|珊瑚少女，海底花园
海葵娘|海葵少女，触手飘动
海胆娘|海胆少女，满身尖刺
海星娘|海星少女，五角对称
海参娘|海参少女，营养丰富
海肠娘|海肠少女，粉红可爱
蛙娘|青蛙少女，跳跃高手
蟾蜍娘|蟾蜍少女，富贵吉祥
蛙人|青蛙化身，水陆两栖
鱼娘|美人鱼，蓝色魅力
鱼人|鱼类化身，水中畅游
蛙卵|蛙卵成精，黏滑生命
蝌蚪|小蝌蚪，成长变化
蝾螈|蝾螈少女，娃娃鱼
蝾螈娘|蝾螈女孩，水陆两栖
章鱼娘|章鱼少女，多臂可爱
章鱼|八爪生物，智慧触手
鱿鱼娘|鱿鱼少女，快速敏捷
乌贼娘|墨鱼少女，喷墨防御
蟹娘|螃蟹少女，坚硬外壳
蟹人|蟹类化身，横行霸道
虾娘|虾类少女，弓背可爱
虾人|虾类化身，弓腰驼背
贝娘|贝类少女，贝壳保护
螺娘|螺类少女，螺旋外壳
海绵|多孔生物，吸水膨胀
海绵娘|海绵少女，多孔吸力
珊瑚|珊瑚礁，坚硬美丽
珊瑚娘|珊瑚少女，海底花园
海葵|海葵生物，触手飘动
海葵娘|海葵少女，触手飘动
海胆|海胆生物，满身尖刺
海胆娘|海胆少女，满身尖刺
海星|海星生物，五角对称
海星娘|海星少女，五角对称
海参|海参生物，营养丰富
海参娘|海参少女，营养丰富
海肠|海洋生物，形状奇特
海肠娘|海肠少女，粉红可爱
海带|海带生物，漂浮海藻
海带娘|海带少女，绿色长发
昆布|昆布海藻，褐色带状
昆布娘|昆布少女，褐色长发
紫菜|紫菜生物，紫色片状
紫菜娘|紫菜少女，紫色秀发
海藻|海藻生物，绿色漂浮
海藻娘|海藻少女，绿色长发
海草|海草生物，柔韧飘动
海草娘|海草少女，柔顺长发
海芋|海芋植物，球根花卉
海芋娘|海芋少女，热带风情
美人蕉|美人蕉花，热带植物
美人蕉娘|美人蕉少女，热带风情
捕蝇草|捕蝇草，捕虫植物
捕蝇草娘|捕蝇草少女，危险可爱
猪笼草|猪笼草，捕虫植物
猪笼草娘|猪笼草少女，危险诱惑
茅膏菜|茅膏菜，粘虫植物
茅膏菜娘|茅膏菜少女，黏液诱惑
捕虫堇|捕虫堇，食虫植物
捕虫堇娘|捕虫堇少女，紫色浪漫
螺旋狸藻|螺旋狸藻，食虫植物
螺旋狸藻娘|螺旋狸藻少女，陷阱诱惑
土瓶草|土瓶草，瓶子草
土瓶草娘|土瓶草少女，瓶子陷阱
眼镜蛇草|眼镜蛇草，食虫植物
眼镜蛇草娘|眼镜蛇草少女，蛇形陷阱
貉|貉子，犬科动物
獾|獾类动物，挖洞能手
貂|貂皮动物，柔软皮毛
鼬|鼬类动物，黄鼠狼
水獭|水獭，水中精灵
海獭|海獭，海面漂浮
獭祭|獭祭文化，日本传统
狸|狸猫，日本妖怪
狸精|狸猫成精，幻化之术
狸猫|狸猫精怪，变化多端
狐|狐狸，聪明伶俐
狐狸|狐狸精怪，魅惑众生
狐狸精|千年狐狸，魅惑之术
狐仙|狐仙修炼，仙风道骨
狐姬|狐族少女，青春貌美
狐妖|狐狸成精，魅惑众生
狼|狼，野性难驯
狼人|狼人战士，野性力量
狼娘|狼族女性，野性魅力
狼女|狼族少女，野性之美
狼少女|年轻的狼女，活泼可爱
犬|犬类，忠诚伙伴
犬人|犬类化身，忠诚属性
犬娘|犬耳少女，忠诚可爱
犬耳娘|犬耳女孩，忠诚萌系
猫|猫咪，傲娇可爱
猫又|猫又妖怪，双尾灵猫
猫人|猫类化身，敏捷属性
猫耳娘|猫耳女孩，傲娇可爱
猫耳少女|猫耳少女，活泼可爱
兔|兔子，纯真可爱
兔人|兔类化身，跳跃能力
兔娘|兔耳女孩，温柔可人
兔耳娘|兔耳女孩，活泼可爱
鼠|老鼠，敏捷灵活
鼠人|鼠类化身，敏捷属性
鼠娘|鼠耳少女，活泼可爱
鼠耳娘|鼠耳女孩，敏捷可爱
松鼠|松鼠，蓬松尾巴
松鼠娘|松鼠少女，可爱活泼
仓鼠|仓鼠，胖嘟嘟
仓鼠娘|仓鼠少女，胖嘟嘟可爱
龙猫|龙猫，大型啮齿
龙猫娘|龙猫少女，毛茸茸可爱
鼯鼠|鼯鼠，会飞的鼠
鼯鼠娘|鼯鼠少女，滑翔可爱
蝙蝠|蝙蝠，夜行生物
蝙蝠娘|蝙蝠少女，暗夜魅力
吸血鬼|永生血族，黑暗魅力
吸血鬼新娘|血族新娘，永恒之爱
吸血鬼猎人|猎魔战士，对抗黑暗
血仆|血族奴仆，忠诚侍奉
血族|血族成员，永生不灭
僵尸|行尸走肉，不死生物
僵尸新娘|僵尸新娘，恐怖浪漫
丧尸|末世丧尸，嗜血本能
丧失娘|丧尸少女，末世风采
骷髅|白骨骷髅，死亡象征
骷髅娘|骷髅少女，死亡之美
骸骨|骸骨战士，骨甲防护
骨女|白骨成精，骷髅美女
幽灵|游荡幽魂，虚幻缥缈
幽灵娘|幽灵少女，虚无缥缈
鬼魂|死亡灵魂，阴阳两隔
鬼新娘|鬼魂新娘，冥婚之恋
怨灵|含恨而死，执念不散
厉鬼|凶恶之魂，报复之心
恶鬼|凶猛鬼魂，恐怖存在
小鬼|可爱小鬼，年幼无知
大头鬼|大头鬼，滑稽可爱
吊死鬼|吊死之鬼，舌头特长
淹死鬼|淹死之鬼，水中漂浮
烧死鬼|烧死之鬼，火焰灼烧
饿死鬼|饿死之鬼，瘦骨嶙峋
冻死鬼|冻死之鬼，僵硬恐怖
病死鬼|病死之鬼，虚弱苍白
老鬼|年迈鬼魂，老谋深算
少鬼|年轻鬼魂，年少气盛
男鬼|男性鬼魂，阳间游荡
女鬼|女性鬼魂，阴间游荡
艳鬼|美丽女鬼，诱惑众生
俊鬼|英俊男鬼，迷倒众生
善鬼|善良之鬼，好心肠
恶鬼|凶恶之鬼，坏心肠
好鬼|好鬼，帮助人类
坏鬼|坏鬼，伤害人类
野鬼|孤魂野鬼，无家可归
家鬼|家宅之鬼，守护家族
庙鬼|寺庙之鬼，修行之地
坟鬼|坟墓之鬼，埋葬之地
山鬼|山中之鬼，山林守护
水鬼|水中之鬼，水域主宰
火鬼|火中之鬼，火焰精灵
树鬼|树中之鬼，森林守护
石鬼|石中之鬼，坚硬存在
金鬼|金属之鬼，价值连城
银鬼|白银之鬼，珍贵无比
铜鬼|黄铜之鬼，年代久远
铁鬼|铁之鬼，坚硬如铁
玉鬼|玉石之鬼，温润细腻
水晶鬼|水晶之鬼，透明纯净
宝石鬼|宝石之鬼，璀璨夺目
珍珠鬼|珍珠之鬼，圆润光泽
珊瑚鬼|珊瑚之鬼，海底瑰宝
琥珀鬼|琥珀之鬼，亿年时光
蜜蜡鬼|蜜蜡之鬼，蜡质光泽
松石鬼|松石之鬼，蓝色魅力
青金石鬼|青金之鬼，蓝色金粉
月光石鬼|月石之鬼，月光精华
日光石鬼|日光之鬼，阳光能量
拉长石鬼|拉长之鬼，彩虹光彩
天河石鬼|天河之鬼，蓝色纹理
海蓝宝鬼|海蓝之鬼，海洋色彩
