# 底线/雷区预设模板
# 格式：名称|描述

[行为]
恋灌肠|恋灌肠
恋尿道|恋尿道
恋改造|恋改造
恋触手|恋触手
恋章鱼|恋章鱼
恋软体|恋软体
恋史莱姆|恋史莱姆
恋胶状|恋胶状
恋黏液|恋黏液
恋变形|恋变形
恋融合|恋融合
恋膨胀|恋膨胀
恋收缩|恋收缩
恋延伸|恋延伸
恋伸缩|恋伸缩
恋巨大|恋巨大化
恋迷你|恋迷你化
恋贫乳|恋贫乳
恋巨乳|恋巨乳
恋暴露|暴露癖
恋露出|恋露出癖
恋偷窥|恋偷窥癖
恋偷拍|恋偷拍癖
恋偷录|恋偷录癖
恋公开|恋公开癖
恋公众|恋公众癖
恋展览|恋展览癖
恋表演|恋表演癖
恋自拍|恋自拍癖
恋直播|恋直播癖
恋拍摄|恋拍摄癖
恋录制|恋录制癖
恋偷情|恋偷情癖
恋外遇|恋外遇癖
恋出轨|恋出轨癖
恋劈腿|恋劈腿癖
恋多偶|恋多偶癖
恋群交|恋群交癖
恋交换|恋交换癖
恋换妻|恋换妻癖
恋换偶|恋换偶癖
恋开放式|恋开放式关系
恋一夜情|恋一夜情癖
恋约炮|恋约炮癖
恋419|恋一夜情癖
援交|援助交际
买春|购买性服务
卖春|出售性服务
嫖娼|支付性服务
卖淫|从事性交易
人肉|人肉搜索
网络暴力|网络暴力
网络犯罪|网络犯罪
黑客|非法入侵
盗版|盗版侵权
侵权|侵犯权益
抄袭|抄袭行为
剽窃|剽窃作品
造假|伪造文件
诈骗|欺诈行为
传销|非法传销
赌博|赌博行为
吸毒|吸食毒品
贩毒|贩卖毒品
走私|走私货物
偷税|偷税漏税
洗钱|洗钱行为
黑市|黑市交易
军火|军火交易
武器|非法武器
核武|核武器
生化|生物化学武器
恐怖|恐怖主义
极端|极端主义
邪教|邪教组织
 cult |邪教
迷信|封建迷信
巫术|巫术活动
蛊术|蛊术降头
降头|下降头
巫蛊|巫蛊之术
诅咒|诅咒巫术
邪术|邪恶术法
妖术|妖怪法术
魔法|黑暗魔法
黑魔法|黑魔法
恶魔|恶魔崇拜
魔鬼|魔鬼交易
撒旦|撒旦崇拜
路西法|路西法崇拜
该隐|该隐后裔
吸血鬼|吸血鬼崇拜
狼人|狼人崇拜
僵尸|僵尸崇拜
亡灵|亡灵巫师
鬼魂|鬼魂附身
灵异|灵异事件
超自然|超自然现象
 paranormal |超自然
神秘学|神秘学
玄学|玄学
风水|风水学
命理|命理学
面相|面相学
手相|掌纹学
占卜|占卜术
塔罗|塔罗牌占卜
易经|周易八卦
六爻|六爻占卜
奇门|奇门遁甲
梅花|梅花易数
铁板|铁板神数
紫微|紫微斗数
八字|八字命理
星座|星座学
占星|占星术
星象|星象学
巫医|巫医治病
草医|草药治疗
祝由|祝由科
符咒|符咒法术
法术|道教法术
魔法|魔法
巫术|巫术
蛊术|蛊术
降头|降头术
邪降|邪降
正降|正降
情降|情降
鬼降|鬼降
蛊降|蛊降
药降|药降
飞降|飞降
血降|血降
石头降|石头降
木头降|木头降
铁降|铁降
铜降|铜降
银降|银降
金降|金降
玉降|玉降
石降|石降
木降|木降
水降|水降
火降|火降
风降|风降
雷降|雷降
电降|电降
光降|光降
暗降|暗降
阴阳降|阴阳降
五行降|五行降
八卦降|八卦降
天地降|天地降
日月降|日月降
星辰降|星辰降
鬼神降|鬼神降
精灵降|精灵降
天使降|天使降
恶魔降|恶魔降
神降|神降
仙降|仙降
妖降|妖降
怪降|怪降
精降|精降
灵降|灵降
魂降|魂降
魄降|魄降
阴魂|阴魂降
阳魂|阳魂降
幽魂|幽魂降
游魂|游魂降
野鬼|野鬼降
孤魂|孤魂降
怨魂|怨魂降
厉鬼|厉鬼降
恶灵|恶灵降
邪灵|邪灵降
魔灵|魔灵降
妖灵|妖灵降
精怪|精怪降
异物|异物降
异类|异类降
怪物|怪物降
妖魔|妖魔降
魔物|魔物降
神物|神物降
灵物|灵物降
宝物|宝物降
法宝|法宝降
法器|法器降
神器|神器降
魔器|魔器降
灵器|灵器降
宝器|宝器降
仙器|仙器降
妖器|妖器降
鬼器|鬼器降
阴器|阴器降
阳器|阳器降

[其他]
约炮|随意性行为
援交|金钱性交易
偷情|婚外性行为
强制|强迫性行为
药物|使用药物助性
录音录像|拍摄性行为
一夜情|临时性关系
419|一夜情
援交|援助交际
买春|购买性服务
卖春|出售性服务
嫖娼|支付性服务
卖淫|从事性交易
出轨|婚姻出轨
劈腿|感情背叛
多角恋|多角关系
开放式|开放式关系
YP|YP行为
ONS|一夜情
约|约PAO
炮友|炮友关系
一夜炮|一夜情
419|一夜情
陌陌|陌陌约
探探|探探约
微信约|微信约
摇一摇|摇一摇约
附近的人|附近约
漂流瓶|漂流瓶约
社交软件|社交软件约
yp|约PAO
约x|约X
约pao|约pao
约x|约X
YP|YP
ONS|ONS
ONS|一夜情
FK|FK
fuck|性交
做爱|性交行为
上床|发生性关系
ML|做爱
 sex |性行为
SEX|性行为
性交|性行为
性行为|性行为
性活动|性活动
性爱|性爱
艳照|艳照门
门事件|门事件
照门|照门
视频门|视频门
录音门|录音门
偷拍门|偷拍门
偷窥门|偷窥门
艳舞门|艳舞门
陪睡门|陪睡门
陪酒门|陪酒门
陪玩门|陪玩门
援交门|援交门
约炮门|约炮门
出轨门|出轨门
劈腿门|劈腿门
多P门|多P门
3P门|3P门
4P门|4P门
多人门|多人门
换妻门|换妻门
换偶门|换偶门
SM门|SM门
调教门|调教门
束缚门|束缚门
捆绑门|捆绑门
调教门|调教门
虐待门|虐待门
兽交门|兽交门
人兽门|人兽门
特殊性癖门|特殊性癖门
曝光|隐私曝光
泄露|信息泄露
盗摄|盗摄行为
偷拍|偷拍行为
偷窥|偷窥行为
偷录|偷录行为
盗摄|非法拍摄
针孔|针孔摄像
偷拍|隐私侵犯
隐私|侵犯隐私
人肉|网络暴力
网络暴力|网络欺凌
网络犯罪|网络犯罪
黑客|非法入侵
病毒|电脑病毒
木马|木马病毒
蠕虫|蠕虫病毒
勒索|勒索软件
钓鱼|钓鱼攻击
盗号|盗取账号
盗Q|盗取QQ
盗微信|盗取微信
盗支付宝|盗取支付宝
盗银行卡|盗取银行卡
盗刷|盗刷信用卡
盗取|盗取财物
盗窃|盗窃行为
偷盗|偷盗行为
小偷|小偷小摸
抢劫|抢劫行为
抢夺|抢夺行为
绑架|绑架行为
劫持|劫持行为
挟持|挟持人质
恐吓|恐吓威胁
威胁|威胁恐吓
敲诈|敲诈勒索
勒索|勒索钱财
碰瓷|碰瓷欺诈
诈骗|诈骗行为
传销|非法传销
集资|非法集资
融资|非法融资
借贷|高利贷
网贷|网络贷款
校园贷|校园贷
裸贷|裸贷
培训贷|培训贷
美容贷|美容贷
整形贷|整形贷
租房贷|租房贷
租金贷|租金贷
房贷|房贷
车贷|车贷
消费贷|消费贷
信用贷|信用贷
抵押贷|抵押贷
质押贷|质押贷
担保贷|担保贷
联保贷|联保贷
互保贷|互保贷
助贷|助贷
助学金|助学金
奖学金|奖学金
贷学金|贷学金
助学贷|助学贷
生源地|生源地贷款
国家助学|国家助学贷款
高校助学|高校助学贷款
生源地|生源地
高校|高校
助学|助学贷款
奖学金|奖学金
助学金|助学金
学费|学费
生活费|生活费
零花钱|零花钱
零用钱|零用钱
零花|零花
花费|花费
支出|支出
开销|开销
消费|消费
浪费|浪费
挥霍|挥霍
攀比|攀比
炫富|炫富
装逼|装逼
秀优越|秀优越
晒富|晒富
炫富|炫富
攀比|互相攀比
烧包|烧包
得瑟|得瑟
显摆|显摆
嘚瑟|嘚瑟
得瑟|得瑟
臭显|臭显
显摆|显摆
摆谱|摆谱
阔气|阔气
大方|大方
慷慨|慷慨
小气|小气
抠门|抠门
吝啬|吝啬
大方|大方
有钱|有钱
富有|富有
富裕|富裕
贫穷|贫穷
贫困|贫困
拮据|拮据
窘迫|窘迫
困难|困难
艰难|艰难
苦逼|苦逼
苦逼|苦逼
苦逼|苦逼
穷逼|穷逼
穷逼|穷逼
穷鬼|穷鬼
屌丝|屌丝
吊丝|吊丝
丝|丝
穷屌|穷屌丝
穷吊|穷吊丝
矮矬|矮矬穷
矮矬穷|矮矬穷
矮穷丑|矮穷丑
穷丑|穷丑
丑穷|丑穷
矮穷|矮穷
矬穷|矬穷
穷矮|穷矮
穷矬|穷矬
屌丝|屌丝
吊丝|吊丝
丝|丝
穷屌|穷屌
穷吊|穷吊
矮矬|矮矬
矮穷|矮穷
矬穷|矬穷
穷矬|穷矬
屌|屌
吊|吊
丝|丝

[绝对禁忌]
不同意|未经同意的任何行为
未成年人|涉及未成年人
近亲|血缘相关
动物|与动物相关
不同意|没有同意
强迫|强迫行为
强制|强制行为
非自愿|非自愿
违背意愿|违背意愿
强迫性行为|强迫性行为
强奸|强奸行为
猥亵|猥亵行为
性骚扰|性骚扰
性侵|性侵害
性虐待|性虐待
性暴力|性暴力
性犯罪|性犯罪
性交易|性交易
性工作|性工作
援交|援助交际
雏妓|雏妓
幼女|幼女
幼男|幼男
儿童|儿童
未成年人|未成年
青少年|青少年
学生|学生
处男|处男
处女|处女
处|处女
男童|男童
女童|女童
小孩|小孩
儿童色情|儿童色情
幼童|幼童
婴童|婴童
婴幼儿|婴幼儿
胎儿|胎儿
堕胎|堕胎
流产|流产
近亲|近亲繁殖
乱伦|乱伦行为
父女|父女乱伦
母子|母子乱伦
父、子|父子乱伦
母女|母女乱伦
兄妹|兄妹乱伦
姐弟|姐弟乱伦
兄弟|兄弟乱伦
姐妹|姐妹乱伦
祖孙|祖孙乱伦
爷孙|爷孙乱伦
叔侄|叔侄乱伦
姑舅|姑舅乱伦
表亲|表亲乱伦
堂亲|堂亲乱伦
内亲|内亲乱伦
外亲|外亲乱伦
血亲|血亲乱伦
血缘|血缘乱伦
亲属|亲属乱伦
家族|家族乱伦
宗亲|宗亲乱伦
姻亲|姻亲乱伦
收养|收养关系
养父女|养父女乱伦
养母子|养母子乱伦
养父|养父
养母|养母
养子|养子
养女|养女
继父女|继父女乱伦
继母子|继母子乱伦
继父|继父
继母|继母
继子|继子
继女|继女
配偶|配偶
丈夫|丈夫
妻子|妻子
前夫|前夫
前妻|前妻
情人|情人
小三|小三
二奶|二奶
外遇|外遇
出轨|出轨
劈腿|劈腿
一夜情|一夜情
419|一夜情
约炮|约炮
YP|YP
ONS|ONS
炮友|炮友
一夜炮|一夜炮
419炮|419炮
援交|援交
买春|买春
卖春|卖春
嫖娼|嫖娼
卖淫|卖淫
性工作者|性工作者
性服务|性服务
性交易|性交易
色情交易|色情交易
金钱性交易|金钱性交易
以性换钱|以性换钱
以钱买性|以钱买性
买性|买性
卖性|卖性
约|约
炮|炮
pao|pao
PAO|PAO
爱爱|爱爱
做爱|做爱
上床|上床
ML|ML
 Sex| Sex
性交|性交
操|操
肏|肏
日|日
干|干
搞|搞
弄|弄
上|上
艹|艹
屮|屮
奸|奸
姦|姦
婬|婬
淫|淫
烺|烺
滛|滛
璽|璽
㸘|㸘
䭿|䭿
䚱|䚱
䧪|䧪
媮|媮
愾|愾
㝕|㝕
嬾|嬾
屚|屚
峽|峽
㤅|㤅
㳟|㳟
烮|烮
焳|焳
㹕|㹕
獸|獸
玊|玊
㺩|㺩
㸘|㸘
㣞|㣞
㤈|㤈
䊆|䊆
㴔|㴔
㱂|㱂
㸲|㸲
㾾|㾾
䧕|䧕
䧖|䧖
玀|玀
兽交|兽交
动物|动物
兽奸|兽奸
人兽|人兽
人兽交|人兽交
跨种族|跨种族
异种|异种
兽恋|兽恋
恋兽|恋兽
兽癖|兽癖
特殊性癖|特殊性癖
特殊爱好|特殊爱好
个人偏好|个人偏好
性癖好|性癖好
性偏好|性偏好
性倾向|性倾向
性取向|性取向
恋足|恋足
恋手|恋手
恋发|恋发
恋乳|恋乳
恋臀|恋臀
恋腰|恋腰
恋腿|恋腿
恋丝|恋丝
恋制服|恋制服
恋教师|恋教师
恋护士|恋护士
恋警察|恋警察
恋医生|恋医生
恋空姐|恋空姐
恋女仆|恋女仆
恋女王|恋女王
恋SM|恋SM
恋主人|恋主人
恋奴隶|恋奴隶
恋束缚|恋束缚
恋调教|恋调教
恋羞辱|恋羞辱
恋疼痛|恋疼痛
恋瘙痒|恋瘙痒
恋捆绑|恋捆绑
恋胶衣|恋胶衣
恋皮衣|恋皮衣
恋绳艺|恋绳艺
恋口球|恋口球
恋眼罩|恋眼罩
恋项圈|恋项圈
恋手铐|恋手铐
恋脚镣|恋脚镣
恋锁链|恋锁链
恋笼子|恋笼子
恋狗笼|恋狗笼
恋小屋|恋小屋
恋乳胶|恋乳胶
恋皮具|恋皮具
恋金属|恋金属
恋绳索|恋绳索
恋布条|恋布条
恋胶带|恋胶带
恋丝带|恋丝带
恋绳子|恋绳子
恋锁具|恋锁具
恋钥匙|恋钥匙
恋笼门|恋笼门
恋牵引|恋牵引
恋爬行|恋爬行
恋宠物|恋宠物
恋铃铛|恋铃铛
恋链条|恋链条
恋皮鞭|恋皮鞭
恋拍子|恋拍子
恋蜡烛|恋蜡烛
恋低温|恋低温
恋灼热|恋灼热
恋刀割|恋刀割
恋针刺|恋针刺
恋夹子|恋夹子
恋压力|恋压力
恋震动|恋震动
恋按摩|恋按摩
恋电击|恋电击
恋失禁|恋失禁
恋排泄|恋排泄
恋灌肠|恋灌肠
恋尿道|恋尿道
恋改造|恋改造
恋触手|恋触手
恋章鱼|恋章鱼
恋软体|恋软体
恋史莱姆|恋史莱姆
恋胶状|恋胶状
恋黏液|恋黏液
恋变形|恋变形
恋融合|恋融合
恋膨胀|恋膨胀
恋收缩|恋收缩
恋延伸|恋延伸
恋伸缩|恋伸缩
恋巨大|恋巨大
恋迷你|恋迷你
恋贫乳|恋贫乳
恋巨乳|恋巨乳
同意|同意
不同意|不同意
愿意|愿意
不愿意|不愿意
可以|可以
不可以|不可以
允许|允许
不允许|不允许
许可|许可
不许可|不许可
赞成|赞成
不赞成|不赞成
支持|支持
不支持|不支持
反对|反对
不反对|不反对
接受|接受
不接受|不接受
认可|认可
不认可|不认可
承认|承认
不承认|不承认
肯定|肯定
否定|否定
允许|允许
禁止|禁止
许可|许可
准许|准许
驳回|驳回
否决|否决
拒绝|拒绝
否认|否认
承认|承认
供认|供认
坦白|坦白
招供|招供
供述|供述
陈述|陈述
说明|说明
解释|解释
阐明|阐明
辩解|辩解
说明|说明
理由|理由
原因|原因
借口|借口
托词|托词
遁词|遁词
遁辞|遁辞
饰词|饰词
饰辞|饰辞
借口|借口
推辞|推辞
推诿|推诿
推脱|推脱
推卸|推卸
抵赖|抵赖
否认|否认
否定|否定
不同意|不同意
不认可|不认可
不允许|不允许
不准|不准
不行|不行
不可|不可
不能|不能
不会|不会
不要|不要
不愿|不愿
不肯|不肯
不想|不想
不爱|不爱
不喜欢|不喜欢
不接受|不接受
不同意|不同意
不答应|不答应
不允许|不允许
不配合|不配合
不合作|不合作
不服从|不服从
不顺从|不顺从
不听话|不听话
不乖|不乖
不乖|不乖
不听话|不听话
不服从|不服从
不顺从|不顺从
不配合|不配合
不合作|不合作
不协同|不协同
不同意|不同意
不允许|不允许
不准|不准
不行|不行
不可|不可
不能|不能
不会|不会
不要|不要
不愿|不愿
不肯|不肯
不想|不想
不爱|不爱
不喜欢|不喜欢
不接受|不接受
不同意|不同意
不答应|不答应
不允许|不允许
不配合|不配合
不合作|不合作
不服从|不服从
不顺从|不顺从
不听话|不听话
不乖|不乖
不乖|不乖
不听话|不听话
不服从|不服从
不顺从|不顺从
不配合|不配合
不合作|不合作
不协同|不协同
不同意|不同意
不允许|不允许
不准|不准
不行|不行
不可|不可
不能|不能
不会|不会
不要|不要
不愿|不愿
不肯|不肯
不想|不想
不爱|不爱
不喜欢|不喜欢
不接受|不接受
不同意|不同意
不答应|不答应
不允许|不允许
不配合|不配合
不合作|不合作
不服从|不服从
不顺从|不顺从
不听话|不听话
不乖|不乖
