# 性格预设模板
# 格式：名称|描述

[温柔]
温柔体贴|善解人意，关怀备至
职场御姐|职场精英
时尚御姐|时尚前卫
知性御姐|知性美丽

[萌系]
软萌|萌属性，惹人怜爱
天然呆|天然可爱，反应慢半拍
治愈系|温暖人心，抚平创伤
萌属性|各种萌元素集合
少女心|充满幻想与浪漫
萌萌哒|非常萌
天然萌|天然可爱
可爱萌|超级可爱
萌出血|萌到出血
萌翻|萌翻全场
萌炸|萌炸天
萌到爆|萌到不行
超级萌|超级可爱
萌属性|萌系属性
少女系|少女心
可爱系|可爱属性
萌妹子|萌妹子
萌少女|萌少女
可爱少女|可爱少女
天然少女|天然呆萌
治愈少女|治愈系

[其他]
腹黑|表面温柔，内心腹黑
病娇|爱到偏执，极端占有
抖M|喜欢被虐
抖S|喜欢虐人
女汉子女汉子|性格豪爽
女强人|事业型女性
百合|喜欢女性
御姐控|喜欢御姐
正太控|喜欢正太
腹黑少女|腹黑可爱
病娇少女|偏执爱恋
病娇属性|病娇
温柔腹黑|温柔腹黑
腹黑属性|腹黑
暗黑属性|黑暗属性
病娇偏执|偏执病娇
傲娇|傲娇属性
萌属性|萌属性
弱气|柔弱属性
强气|强势属性
治愈系|治愈
致郁系|致郁
三无|三无属性
无口|无口属性
面瘫|面瘫属性
冰山|冰山美人
高冷|高冷傲娇
高岭之花|高岭之花
女王|女王属性
公主|公主属性
少女|少女属性
正太|正太属性
少年|少年属性
青年|青年属性
大叔|大叔属性
爷爷|爷爷属性
人妻|人妻属性
乙女|乙女属性
伪娘|伪娘属性
扶她|扶她属性
中性|中性属性
男性化|男性化
女性化|女性化
男装|男装丽人
女装|女装大佬
jk|jk属性
lolita|洛丽塔属性
汉服|汉服属性
coser|角色扮演
声优|声音可爱
cos|角色扮演
动漫|二次元
游戏|游戏宅
腐女|腐女属性
宅女|宅属性
腐男|腐男属性
现充|现充属性
社恐|社交恐惧
社牛|社交牛人
死宅|死宅属性
技术宅|技术宅
军宅|军事宅
历史宅|历史宅
动漫宅|动漫宅
游戏宅|游戏宅
技术宅|技术宅
文学宅|文学宅
音乐宅|音乐宅
摄影宅|摄影宅
绘画宅|绘画宅
手工宅|手工宅
烹饪宅|烹饪宅
健身宅|健身宅
跑步宅|跑步宅
瑜伽宅|瑜伽宅
冥想宅|冥想宅
学习宅|学习宅
工作狂|工作狂属性
学习狂|学习狂
考证狂|考证达人
事业狂|事业心强
恋爱脑|恋爱至上
颜控|颜值控
声控|声音控
手控|手控
腿控|腿控
胸控|胸控
腰控|腰控
臀控|臀控
发控|发型控
服饰控|服饰控
饰品控|饰品控
萌宠控|宠物控
毛绒控|毛绒控
游戏控|游戏控
动漫控|动漫控
小说控|小说控
电影控|电影控
音乐控|音乐控
美食控|美食控
旅行控|旅行控
摄影控|摄影控
健身控|健身控
运动控|运动控
户外控|户外控
宅控|宅属性
外向|外向性格
内向|内向性格
开朗|开朗活泼
沉默|沉默寡言
稳重|成熟稳重
轻浮|轻浮不稳
严肃|严肃认真
活泼|活泼可爱
安静|安静恬淡
热情|热情如火
冷漠|冷漠淡然
温柔|温柔体贴
粗暴|粗暴急躁
柔弱|柔弱可怜
坚强|坚强勇敢
软弱|软弱可欺
勇敢|勇敢无畏
懦弱|懦弱胆怯
大方|大方得体
小气|小气吝啬
慷慨|慷慨大方
自私|自私自利
无私|无私奉献
聪明|聪明伶俐
愚笨|愚笨迟钝
智慧|智慧超群
愚蠢|愚蠢无知
睿智|睿智聪慧
愚昧|愚昧落后
理智|理智冷静
感性|感性多情
冷静|冷静沉着
冲动|冲动易怒
沉稳|沉稳内敛
急躁|急躁冲动
稳重|稳重成熟
轻佻|轻佻不稳
踏实|踏实可靠
浮躁|浮躁不安
忠诚|忠诚可靠
背叛|背叛可耻
诚信|诚实守信
欺诈|欺诈虚伪
守信|守信用
失信|失信于人
守信|言而有信
可靠|可靠可信
可信|值得信任
可疑|可疑人物
可信|可以信任
可靠|值得信赖
靠谱|靠谱可靠
不靠谱|不靠谱
靠谱|非常靠谱
暖心|温暖贴心
冷漠|冷漠无情
热情|热情洋溢
冷淡|冷淡疏离
温暖|温暖人心
冰冷|冰冷无情
热心|热心肠
冷血|冷血无情
热心肠|热心帮助
冷酷|冷酷无情
善良|善良温柔
邪恶|邪恶腹黑
美好|美好善良
丑恶|丑恶嘴脸
美丽|美丽动人
丑陋|丑陋不堪
漂亮|漂亮美丽
丑陋|面目可憎
美丽动人|美丽可爱
丑陋可怕|可怕丑陋
美丽|美丽动人
美丽大方|美丽又大方
丑陋|面貌丑陋
美丽|美丽动人
丑陋|长相丑陋
美丽|美丽如花
丑陋|丑如东施
美丽|花容月貌
丑陋|面目可憎
美丽|沉鱼落雁
丑陋|歪瓜裂枣
美丽|闭月羞花
丑陋|獐头鼠目
美丽|倾国倾城
丑陋|不堪入目
美丽|国色天香
丑陋|惨不忍睹
美丽|沉鱼落雁
丑陋|奇丑无比
美丽|闭月羞花
丑陋|面目全非
美丽|花容月貌
丑陋|面目可憎
美丽|倾国倾城
丑陋|五官扭曲
